tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
315.02,0.3301768294713721,0.3374720636,0.27929776559999997,0.2983230362,0.27711797309999997,0.3099427169
317,0.542538308988571,0.5532262861,0.5265900383,0.532754418,0.5947195704,0.5985690364
318,0.6847642772780044,0.6942242356,0.6732673267,0.6860202931,0.6975342466,0.6968698517
319,0.7430495779753692,0.7518000847,0.744373673,0.7381161972,0.7341015792,0.6706896552
321,0.7246120537461108,0.7365013977,0.6846460765000001,0.7027841561,0.6892977077,0.680970958
401,0.660732868550719,0.6699629172,0.6698349175,0.6190476189999999,0.6325167038,0.5822096049000001
402.01,0.635260557286626,0.6341463414999999,0.6866828087000001,0.7113928509,0.6776929601,0.6557133421
402.02,0.5335869444117768,0.5447728275,0.4987296368,0.4920774648,0.5116693920000001,0.45377911130000004
403,0.5629332704464844,0.5649038462,0.5971385542000001,0.5520628684000001,0.507505071,0.4469787915
404.01,0.6834674153343981,0.6912595547,0.6477433003999999,0.6767270287999999,0.608627204,0.7009803922
404.02,0.5818800387714379,0.5801269338,0.6383748139000001,0.6495147822,0.6194358748,0.6038062284000001
406,0.7640886164505913,0.7700296736,0.7935916542,0.7386318703,0.6998432602,0.6665390505
407,0.6442306513636133,0.6538575229,0.6388308977,0.6613005050999999,0.7100666878,0.7176192087000001
408,0.721906806544307,0.7244136461,0.7338842975,0.788788222,0.734439834,0.7842655194
409,0.8508871061680442,0.8615241636,0.8489140699,0.7401103956,0.656555773,0.7367006985
501,0.7314042420530434,0.7312792512,0.7680798005,0.8213448006,0.7675401521999999,0.8081081081
502,0.7037832152332092,0.7173996176,0.7041015625,0.6358438486,0.6933417349,0.6681314082
503,0.6359099638241424,0.6361111111,0.6964146532,0.7447649151000001,0.7783385093,0.8567176871
505,0.8050167957937668,0.8128496661,0.8046598322,0.8387778631999999,0.8253875969,0.8414751883
506,0.8063404934052966,0.8152678195,0.8156586578,0.8294047143000001,0.845646438,0.8609005795999999
507,0.8861518468605069,0.8960302456999999,0.9064460924,0.8602150538,0.8528827038,0.7896024465000001
508,0.8372354134599338,0.8410071942,0.8822704975,0.8680504077,0.8322197476000001,0.8081395348999999
509,0.8267445370022244,0.8318240620999999,0.8457831325,0.9093673966,0.9020248204000001,0.8713304184999999
510,0.6884674244488378,0.6917113894,0.7298136646,0.7614442295,0.7841823056,0.8054558506999999
511,0.7663444524353491,0.780605227,0.7660550459000001,0.7100415924,0.7710610931999999,0.8122998078
512,0.7373490900696206,0.7451100244,0.7823303456999999,0.7601226994,0.8293413173999999,0.8703917051000001
513,0.8479265398893516,0.8632784537999999,0.8171351168000001,0.8058608059000001,0.8279374318000001,0.8033515732
514,0.6744944039780432,0.6775226909000001,0.7401103956,0.6809945217,0.6906987094,0.6317764804
601,0.7715042236725046,0.7742056075,0.8189522342000001,0.7939581720000001,0.7521434139000001,0.7179936864
602,0.6784979832548542,0.6767241379000001,0.7488240828,0.7602179837,0.7353399065999999,0.739806867
603,0.8710923333982936,0.8765394089,0.9036523929000001,0.9412844037,0.9410248147,0.9244514106999999
604,0.7874340730356074,0.7928794179,0.8351236573,0.8310908217,0.8585518403,0.8585154936
605,0.6965302960412901,0.7077294686,0.6817813765,0.7415730337,0.8146551724,0.8550347222
608,0.7648029353411312,0.7682730924,0.7739669420999999,0.7763756723,0.6820904771999999,0.7518510683
609,0.701241323222985,0.7094466345,0.7055341817,0.6553301815,0.6248631743999999,0.6474253853999999
610,0.7471681758722356,0.7660653890000001,0.6928904429,0.7009569378,0.7842914058,0.8081957882999999
611,0.8918367838901848,0.9029126214000001,0.8930481283,0.9169992019,0.9418502203,0.9467996675
612,0.8607235504008077,0.8732327992,0.8322147651,0.8593205575,0.8541102078,0.869774147
615,0.8651261805383361,0.8752034726000001,0.8703604088,0.8648915187,0.8633966245,0.8775292865000001
618,0.7149331964082656,0.7201017812,0.7513274336,0.8026200873,0.861163227,0.8558375635
619.01,0.7317105032564488,0.7402394586,0.7392338177,0.7196708256000001,0.7187914126999999,0.7300469484000001
619.02,0.8047334636754263,0.8156911581999999,0.7940667491,0.7933693138,0.7930861723,0.8235294118
620,0.8026512501005114,0.8128538129,0.8101484294,0.8233164373999999,0.8622641509000001,0.8289623717
621,0.8362073189974748,0.8470097356999999,0.8466785291,0.8016903109,0.8052877138,0.7880098888
622,0.8382803585974646,0.8468668891,0.8419819217,0.8411669368000001,0.8163889833,0.8250170882
623,0.8479609973247032,0.8553693358,0.8787878788,0.8884892086,0.9096459095999999,0.9190957763
624,0.8585698094002391,0.8661832564,0.8859432799,0.8490345231,0.8268279274,0.8513513514
625,0.846347717924331,0.8467100506,0.8792846498000001,0.8964686998,0.7827715356,0.8210227273
626,0.7095012758855831,0.7160120846,0.7487943884,0.7266725352,0.7643776823999999,0.7765862376999999
627,0.8672295514346201,0.8758741259,0.8755894087999999,0.8798219584999999,0.8630393996,0.8602912239
628,0.848399398663776,0.8628571429,0.8146097045999999,0.78815427,0.7725358045,0.7647557187
629,0.8575559084349111,0.8653070903,0.8793103448,0.8969144459999999,0.9068627451000001,0.8771731768000001
630,0.7434207719928569,0.7474683543999999,0.7803600654999999,0.825648855,0.8493958148999999,0.881233785
631,0.8306279341724233,0.8447432762999999,0.7919966653,0.8036912751999999,0.8041841004000001,0.7950138504
632,0.7882333720421036,0.797752809,0.7867781155,0.7845978509,0.7801071879000001,0.7468160195999999
633.01,0.7241812968278656,0.7318923019,0.7128712870999999,0.7564102564,0.7447665056,0.6988685814
633.02,0.783528474524342,0.7892865608,0.8021978022,0.854950495,0.8647519582,0.8538616859999999
633.03,0.8309216201119168,0.8319039451000001,0.8954191876,0.9458823529000001,0.9509803922,0.9258970359
634,0.7987479356994668,0.8084780387999999,0.81278962,0.7946859903,0.81626351,0.7965390666
701.01,0.8569683600974964,0.8627019090000001,0.8844032096,0.8973614137,0.8755992935,0.8978942214
701.02,0.727122652136792,0.7420765026999999,0.7082078313,0.6492569002,0.6890034364000001,0.6993891798
701.03,0.8240048178923266,0.8354818906999999,0.8308516974,0.7877437326000001,0.8016216216,0.7519106408
702,0.7858279089358394,0.7920696325,0.7919735839,0.8271366490000001,0.8026188167,0.815676359
703,0.8028069820592393,0.8096906012999999,0.8010641443000001,0.8116197183,0.757493188,0.8035129503
704,0.8100759366709617,0.8149341142000001,0.8450581395000001,0.8625714286,0.8577099237000001,0.8173431734000001
705,0.8451040842056977,0.8543194135,0.8596955659000001,0.8468382587000001,0.8498518275,0.8646962233
706,0.8501489641639219,0.8579863269,0.8462536490000001,0.9117854622,0.9015490534,0.8959459459
707,0.6847989564249107,0.6901208244,0.7230730605,0.7054179145,0.7265725289,0.6481668347999999
710,0.7895326002567958,0.8029640428,0.7605798456999999,0.7384615385,0.7333829365000001,0.7769464578
711,0.8340456678030096,0.8388675287999999,0.8642564802,0.869740828,0.8364583333,0.8612618725
712,0.7568802663210401,0.7700661001000001,0.7301587302,0.7599234816,0.80486618,0.8477261114
713,0.8785417592817372,0.8910976664,0.8535442296,0.879640045,0.8779134295000001,0.8925046679
714,0.7801898732441158,0.7837955886,0.8154693597,0.8401200171,0.8241085102,0.8483651525
715,0.7847470096354348,0.789392113,0.8162872154,0.8451995684999999,0.8438126481,0.8474730889000001
716,0.8180633678889401,0.8265306122,0.8373177843,0.8490011751000001,0.8745267712,0.8303471445
717,0.6706861163240255,0.6767454645000001,0.7071152784999999,0.6922645740000001,0.7305322129,0.7403346797
718,0.7046418839818476,0.7092851879000001,0.7850187265999999,0.7160399079,0.778282255,0.8187015108
801,0.85124201992531,0.8621079401,0.8702118070999999,0.8440893576999999,0.8797447643999999,0.8907577597
802.01,0.9001129533525237,0.9111313315,0.9115919629000001,0.8795841756,0.881871345,0.8813073394
802.02,0.8541512731429792,0.8632641920999999,0.8550806679999999,0.8287418347,0.7838157118000001,0.8231592195999999
803,0.7743216478264042,0.786393408,0.7799107143,0.7375444840000001,0.7755668672,0.8099000697
804,0.3396343583993307,0.3394023352,0.36396983899999996,0.35735063770000003,0.3374099148,0.283319363
810,0.6650954465875879,0.6701506719,0.7099771105,0.6799385481999999,0.7073863636,0.6929941395999999
811,0.736738975063555,0.7429633563,0.7555373256999999,0.7916210295999999,0.8118326118000001,0.8085106383
812.01,0.745089212241557,0.7536429872,0.7458260105,0.7721379917,0.7874207704,0.7904984424
812.02,0.8588377602333656,0.8675540765,0.855634896,0.8867809058,0.8671646639,0.8588034188
813,0.7331561986844473,0.7406345566,0.7524243023999999,0.7659191029000001,0.7967055042,0.8244159759
814.01,0.6946471044555291,0.7048849415,0.6669316375,0.6758474576000001,0.6588375796,0.6968362034000001
814.02,0.6867088984159765,0.69209752,0.7120072909999999,0.7426326129999999,0.7711575875,0.7899826431999999
