tract,percent_vehicle_alone_2016,percent_vehicle_alone_2015,percent_vehicle_alone_2014,percent_vehicle_alone_2013,percent_vehicle_alone_2012,percent_vehicle_alone_2011
8045.06,84.24975611286324,84.81481481,82.81722054,83.39558574,87.87771063,87.76840491
8045.07,85.88946634846083,86.7140266,83.43455815,84.88956588,84.34494196,85.00253336
8045.08,82.69441020658958,83.78887842,75.09433962,74.57457457,77.17073171,75.25684932
8045.09,78.0471789938963,78.84816754,78.8326301,70.20109689,71.45192937,72.15073529
8045.1,71.77125126667563,72.07412224,70.75276243,73.71042334,74.16457061,72.35901509
8045.11,59.512322987584376,59.00900901,68.24902724,73.14974182,66.80261011,71.69990503
8046.03,83.80221083566843,84.60517585,82.58426966,79.16532905,81.39781151,84.96478873
8046.06,81.16919646409451,81.4559387,86.61034306,84.695137,84.55831208,83.67875648
8046.07,80.94935075602464,81.43402399,81.61070304,82.80305022,82.72654797,82.34570937
8046.08,88.73006040378861,89.4493052,89.05,92.57449927,88.72778297,91.51720795
8046.09,84.06797826555984,84.75167006,82.28882834,84.46514423,84.43977170000001,83.23520297
8046.1,84.67263380831402,85.53546592,84.30361091,78.44408428,80.87748344,83.88501742
8046.11,84.29029082594063,84.86871384,84.80960265,85.3761623,85.79710145,87.12715856
8047.01,72.28161533329175,72.19498125,77.37723531,76.47743814,80.48119282,89.1509434
8047.05,82.57843780837585,82.92113859,84.71400394,87.53814852,87.43529412,90.19856358
8047.06,89.1549201649041,89.84078848,91.96956889,88.80994671,89.28571429,90.39923954
8047.09,83.65534369696736,84.23966135,87.39607582,82.94416244,82.63561321,82.47642227
8047.1,84.80327334320936,85.63674322,83.44795965,83.5042354,81.63793103,81.13456464
8047.11,76.22164453076833,76.5563527,75.18066285,78.85798671,80.28237585,79.93122083
8047.12,77.17832250584505,77.28541521,81.17223314,81.13207547,83.96051820000001,85.15858767
8047.13,80.11039601972654,80.57657658,84.54247175,84.9744998,78.56899489,73.41101695
8047.14,86.55541015803726,87.03962704,88.71670702,89.93476235,90.27982327,87.67820774
8047.15,71.49244841533485,72.32142857,70.53221289,64.05998929,61.46161935,60.47081903
8047.16,78.3396694608719,78.7620064,79.48805461,79.4973545,80.01343635,83.51762267
8048.03,81.67948350078045,82.03592814,81.51794220000001,86.49434572,87.3337766,91.54792746
8048.04,79.96706712435102,80.62181721,76.56638145,79.87126975,79.95539448,78.62857143
8048.05,76.72173013832855,77.19151312,78.82681564,73.87981023,76.24715118,80.74486952
8048.06,77.48839227519066,77.95591182,76.91552063,78.99296156,78.63795111,74.22003284
8048.07,80.81000194611637,81.30012664,80.00829531,82.21436985,83.50785340000002,81.82795699
8048.08,80.89278439198726,81.2788906,81.7178881,83.87372014,84.92706645,80.20585907
8048.09,84.41481289607685,84.78747204,87.5,90.2248738,88.70754301,89.95575221
8048.1,85.94197105966293,86.67074289,85.06773399,84.34808435,85.94660939,86.72831112
8049.01,75.16365891079838,75.39251208,77.76412776,79.24294136,78.49794239,77.03032415
