tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
8042.02,117138.43123602906,114494,120625,115833,115112,113866
8043.05,72441.47204240291,71862,69375,70168,68356,68580
8043.06,66293.44418904772,65193,65833,64614,61250,60711
8043.08,70851.23671628693,70393,69698,73815,76950,77736
8043.09,66804.21898537313,68712,52045,55200,55174,54828
8043.1,95435.96127227863,93024,96194,98140,88443,91013
8043.11,98595.43826420578,97188,96310,100170,96055,101587
8044.03,68833.22608174972,66642,75324,69063,69375,69181
8044.04,76813.51467239758,76618,75457,63083,71912,73254
8044.05,45639.479150464016,44107,50236,45765,44113,42102
8044.06,55654.519115509385,55360,56471,68359,73487,72609
8045.05,74118.69750037782,74457,66139,66993,65461,62996
8045.06,88946.1537371848,87063,91972,92188,92399,107663
8045.07,101755.4180711098,100345,100413,100361,99423,96814
8045.08,58217.17577768059,58333,54375,54625,56048,54662
8045.09,70363.37159341491,68365,75200,77363,75765,68500
8045.1,54796.78514564176,54257,54551,57317,57959,51172
8045.11,49069.33510894603,48511,49381,47500,48321,51429
8046.03,57549.45254339734,57946,51731,49156,49639,46789
8046.06,97915.55397832955,96581,97083,96144,96434,100074
8046.07,99517.2313511552,98049,97444,88839,85972,88316
8046.08,74593.32046097044,74087,70350,77404,73698,79392
8046.09,96735.21485082211,95978,88750,90633,81318,80957
8046.1,67737.1895524464,66719,68158,61389,61840,57724
8046.11,78249.0128958482,77273,76167,71703,69288,65319
8047.01,59968.746136313515,58245,61108,57961,49570,56241
8047.05,66565.05355458889,67167,59833,60469,63079,66750
8047.06,105459.60139157173,104583,99688,96007,92759,85179
8047.09,54162.76965968657,54030,53045,63882,66396,61937
8047.1,75311.62949959462,73663,79091,83500,84571,79531
8047.11,70072.1898365309,70517,62756,63150,63454,61694
8047.12,94565.44112209434,91979,98368,100393,95174,96090
8047.13,78678.0582678576,78375,77551,64626,73185,60136
8047.14,88691.4670013052,86538,89469,96193,87534,79583
8047.15,51242.61842377509,49152,58542,48750,48359,45750
8047.16,87971.44905707559,87037,85880,86667,86409,85677
8048.03,83829.86835869057,84069,77688,80731,84102,79669
8048.04,70332.08896276986,69635,68036,67973,66089,59738
8048.05,80852.8279760125,79922,79053,77025,76111,79167
8048.06,58001.73538552148,56724,62500,73860,76188,71979
8048.07,66760.59765390745,66583,64408,66684,69710,77471
8048.08,84805.22150503748,84408,78934,76895,74145,73106
8048.09,100360.51978681446,99375,98333,91678,94568,90656
8048.1,71816.40029753117,71155,70574,66736,68329,66129
8049.01,77769.38804889012,76604,78245,80929,81104,81055
8049.02,81705.8342720561,79789,82452,83750,76753,93125
8050.01,95367.88505474452,95000,90150,89331,90667,90722
8050.02,52580.59101608129,52018,51998,51867,51286,49593
8051.05,51894.075445684684,50872,53577,51559,50634,49615
8051.06,71170.49249519191,70372,69417,67072,65625,65729
8051.07,47417.56706364475,47050,48229,49476,52940,52639
8051.08,53614.768081426206,53950,50260,47320,51667,62180
8051.09,72376.10875959437,71023,72399,70457,66667,71048
8051.1,63128.305705608334,61906,65035,65833,65341,66134
8051.11,56607.24623908054,55940,56273,56618,56233,54837
8051.12,49683.6896782029,49020,49321,51905,49681,49493
8052.01,86641.39456791157,86528,84821,68684,80091,76440
8052.02,83242.86428141093,82180,82132,79089,78802,70550
