tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
8050.02,0.16851108154169323,0.165,0.147,0.133,0.105,0.096
8051.05,0.19567452664143883,0.192,0.162,0.11699999999999999,0.10300000000000001,0.057
8051.06,0.21746008330787955,0.217,0.239,0.248,0.228,0.19399999999999998
8051.07,0.07391193610009661,0.07,0.095,0.128,0.121,0.099
8051.08,0.1875091511952459,0.185,0.177,0.16399999999999998,0.156,0.2
8051.09,0.21360222430701148,0.213,0.203,0.218,0.256,0.245
8051.1,0.21639667476774266,0.215,0.20600000000000002,0.21,0.182,0.21
8051.11,0.13717988397046338,0.134,0.13699999999999998,0.14300000000000002,0.14300000000000002,0.151
8051.12,0.14108775936836387,0.139,0.187,0.193,0.18899999999999997,0.166
8052.01,0.3090572207786103,0.31,0.32899999999999996,0.292,0.26899999999999996,0.27399999999999997
8052.02,0.30235185932216857,0.304,0.285,0.304,0.309,0.292
8053.01,0.19527449209988434,0.195,0.17800000000000002,0.22699999999999998,0.278,0.267
8053.02,0.3196013024612675,0.321,0.331,0.301,0.295,0.314
8054.01,0.25970903003719514,0.26,0.262,0.264,0.258,0.307
8054.02,0.24682875421706355,0.24600000000000002,0.262,0.23,0.209,0.253
8055.01,0.3311356175296152,0.33299999999999996,0.319,0.315,0.305,0.303
8055.02,0.25838368093963715,0.259,0.256,0.271,0.27899999999999997,0.249
8056.0,0.30715264587191726,0.309,0.3,0.311,0.321,0.33799999999999997
8057.01,0.28799408517299996,0.29,0.301,0.332,0.314,0.305
8057.02,0.37379414426200364,0.376,0.327,0.33299999999999996,0.278,0.263
8058.01,0.2795681722722738,0.281,0.287,0.303,0.306,0.38
8058.02,0.29751118114411335,0.3,0.32799999999999996,0.331,0.375,0.361
8059.01,0.2650794584418711,0.265,0.28300000000000003,0.259,0.23199999999999998,0.24
8059.02,0.28038817020986107,0.281,0.271,0.271,0.268,0.256
