tract,percent_disability_2016,percent_disability_2015,percent_disability_2014,percent_disability_2013,percent_disability_2012
609.0,7.640192514015448,7.3,8.7,7.4,8.3
610.0,2.5959256766042085,1.9,2.6,4.2,3.2
611.0,1.141723506730018,0.3,0.4,1.0,2.3
612.0,4.119313842210973,3.5,3.9,3.3,3.6
615.0,4.2987810116272,3.7,5.2,4.9,5.2
618.0,4.113090105166788,3.5,2.7,2.3,0.3
619.01,3.526227190398288,2.9,3.2,4.4,6.5
619.02,8.424404163325729,8.2,7.1,7.7,8.7
620.0,5.4572079238529465,5.0,6.1,7.6,4.7
621.0,7.8963091409685395,7.6,7.1,6.6,5.9
622.0,3.479471126542776,2.8,4.0,3.2,3.1
623.0,2.71809147323648,2.0,2.1,2.3,2.1
624.0,5.945184662669121,5.5,4.0,4.1,4.9
625.0,3.4930887085028117,2.8,2.8,1.3,2.9
626.0,4.3933696230083585,3.8,2.5,1.9,2.6
627.0,6.211846598550655,5.8,5.0,5.6,4.7
628.0,4.1068423608095115,3.5,4.4,4.4,4.7
629.0,5.808121963826207,5.3,4.5,2.5,2.2
630.0,2.0013208815039665,1.2,2.0,1.3,2.2
631.0,2.863821323160999,2.2,1.5,3.4,4.1
632.0,9.789597011691365,9.7,8.4,9.8,11.7
633.01,10.978434559162865,11.0,9.0,10.8,10.8
633.02,6.650082610596404,6.2,6.1,3.6,2.6
633.03,25.306804095294567,26.5,27.9,28.3,30.2
634.0,5.477439278814389,5.0,4.9,5.4,5.0
701.01,7.196942468287681,6.9,7.2,9.2,10.6
701.02,2.7431676557314333,2.1,3.0,6.3,7.9
701.03,1.7067553272176874,0.9,1.5,1.6,1.5
702.0,4.270057725817512,3.7,3.7,4.6,4.0
703.0,2.5459065313063327,1.8,2.7,2.4,1.8
704.0,10.781173434737765,10.7,8.7,6.9,7.7
705.0,6.901917261155737,6.5,7.5,6.2,6.2
706.0,2.249828847817348,1.5,1.2,1.7,2.7
707.0,5.036626633039189,4.5,3.2,2.7,4.7
710.0,6.68808391325363,6.3,6.8,6.8,5.7
711.0,5.4216500352331405,4.9,4.1,2.9,2.3
712.0,6.711275923816895,6.3,6.1,5.0,3.7
713.0,3.768871434226764,3.1,4.0,2.6,2.3
714.0,9.08687363336661,8.9,10.3,10.3,9.7
715.0,4.0975703580468235,3.5,4.1,4.5,4.9
716.0,6.643556447711678,6.2,4.7,2.4,1.9
717.0,4.424663528462645,3.8,5.7,3.9,3.6
718.0,4.540826417859444,4.0,4.5,5.7,5.7
801.0,7.714613373238754,7.4,8.7,8.2,7.9
802.01,6.88564144943442,6.5,8.4,7.9,8.9
802.02,3.6148704832627123,3.0,2.4,3.7,5.1
803.0,3.842989867609529,3.2,3.8,3.2,4.2
804.0,8.298219220649742,8.1,6.4,8.5,8.6
810.0,13.695435482886202,13.9,12.6,12.5,10.2
811.0,8.51211617135544,8.3,8.6,9.5,10.9
812.01,8.817338651999933,8.6,7.4,6.9,6.7
812.02,9.514029101691273,9.4,8.8,10.2,8.4
813.0,8.89007216178717,8.7,9.2,9.7,9.3
814.01,12.5454609060182,12.6,10.0,7.6,6.3
814.02,8.002716367443897,7.7,9.3,8.3,8.8
814.03,3.546824574003862,2.9,3.7,4.0,5.0
815.0,5.702080765994982,5.2,4.0,2.6,3.0
816.0,5.423162164435847,4.9,5.1,3.9,3.9
817.0,3.7592970056235346,3.1,3.5,2.5,2.3
818.0,3.033795660005826,2.3,2.0,0.4,1.0
819.0,12.72849358271733,12.8,12.2,10.0,8.2
901.0,8.326703683422476,8.1,9.2,10.2,8.9
902.0,7.232494342822635,6.9,10.3,10.9,11.2
903.0,9.170741715585963,9.0,7.8,8.0,8.1
1001.0,12.56223596607568,12.7,12.7,13.9,13.7
1002.0,10.226233284417725,10.1,9.9,8.3,8.9
1003.0,16.964543106934933,17.4,17.5,15.6,16.6
