tract,percent_vacant_2016,percent_vacant_2015,percent_vacant_2014,percent_vacant_2013,percent_vacant_2012,percent_vacant_2011
3006.0,14.534173351336692,15.2,18.9,17.9,18.3,23.9
3007.0,12.803224643215655,13.7,16.4,20.6,21.8,22.1
3008.0,19.47318176418969,20.3,18.0,20.6,20.5,20.6
3009.0,21.87592842041284,22.9,23.3,27.5,26.0,29.3
3011.0,18.28248696164993,19.2,17.5,21.4,21.8,17.6
3012.0,22.427321076523974,22.9,25.9,28.2,22.2,19.9
3016.0,15.110012642881921,15.7,15.0,16.2,16.5,18.4
3017.01,20.25357429829581,21.2,24.4,24.9,24.1,22.5
3017.02,3.770178570041086,5.3,12.2,13.3,23.3,21.4
3018.01,10.27844507071913,10.5,12.5,9.5,10.2,12.2
3018.02,16.05067324820847,17.2,26.7,32.9,31.0,26.3
3018.03,8.842886656277035,8.8,12.0,13.0,10.4,16.4
3102.0,8.323714318459103,8.9,10.6,9.5,13.1,16.4
3103.0,11.674120655195546,12.0,14.0,15.6,14.5,15.0
3104.0,9.10100281501041,9.3,10.7,10.5,10.7,11.6
3105.0,15.955455026006609,16.7,17.7,21.8,21.0,17.9
3106.0,11.14076018004368,11.2,13.8,11.2,9.9,17.0
3107.0,15.220983632315738,15.8,16.7,19.3,18.3,20.4
3108.0,8.228941880650867,8.6,10.9,10.1,11.9,9.6
3109.0,12.865801023080284,12.8,12.0,11.6,8.9,10.3
3201.0,18.220624456662314,18.8,22.8,23.6,20.7,26.7
3204.0,35.84880816743997,37.9,42.5,44.6,43.0,36.8
3206.0,6.506518865139469,6.7,12.2,11.8,11.8,14.8
3301.0,14.210478704209299,14.7,15.6,16.1,15.8,14.5
3302.0,3.463204410657868,3.1,4.4,3.0,2.4,4.5
3403.0,11.161192403570107,10.9,8.9,8.4,5.6,7.7
3404.0,12.97134250217199,12.6,17.6,13.9,8.1,8.2
3405.0,7.112819760479784,6.8,6.4,7.2,4.9,4.1
3406.0,6.8997902081125515,7.2,5.4,5.0,8.3,15.0
3501.0,7.4650832510830565,7.6,6.1,8.4,9.0,9.6
3504.0,9.431157652111809,13.0,25.7,38.5,53.7,59.4
3510.0,9.083503397022168,9.5,11.1,11.7,13.1,15.4
3511.0,11.229887933101406,11.6,10.1,12.3,12.8,17.0
3514.0,7.790118868363192,7.7,6.0,6.5,6.1,7.7
3515.0,13.906058997646543,16.6,16.7,36.3,44.8,51.4
3602.0,10.36543902242879,10.4,7.2,7.2,7.2,9.8
3801.0,24.66368485155033,25.2,25.5,25.5,20.8,18.7
3802.0,10.204777589610977,11.0,11.2,11.4,15.7,12.5
3805.0,2.182615046989789,3.0,0.0,0.0,9.7,13.5
3807.0,18.318692280459892,18.8,12.9,18.4,16.5,17.6
3812.0,12.531450949905253,12.5,12.9,11.2,9.0,7.9
3814.0,26.14423597833452,27.3,25.7,29.4,27.7,29.8
3815.0,66.89917484035598,70.8,69.0,54.3,60.1,40.9
3817.0,0.4715118939142311,0.0,0.0,0.0,0.0,0.0
3818.0,23.628413335880595,24.3,25.8,25.2,21.8,22.1
3819.0,14.738230725005751,15.6,13.7,14.7,17.7,14.5
3901.0,10.704674463253271,11.5,18.7,20.5,21.3,18.8
3902.0,4.876892850690564,4.9,7.6,7.2,7.8,14.2
3903.0,15.596631217189868,16.5,16.4,18.9,20.5,17.7
3904.0,17.63569884920225,17.9,18.0,17.9,14.8,12.8
3905.0,18.092292123801805,18.9,17.0,10.5,14.5,18.5
3906.0,9.776873506709562,10.0,7.1,7.0,8.6,10.7
3907.0,11.81592376902186,12.3,10.4,11.6,13.2,12.4
4003.0,26.673037465066436,27.5,25.3,28.4,24.5,21.9
4004.0,22.87890320196275,24.3,25.3,24.8,27.4,32.0
4005.0,28.17860955140626,29.8,30.9,28.7,30.8,34.1
4008.0,14.338125047795485,15.2,19.8,15.6,18.5,29.0
4101.0,13.386860445406299,13.5,12.9,14.9,12.2,17.9
4102.0,17.366344454962814,18.4,21.6,25.7,25.5,22.9
4105.0,18.724904235461494,19.8,21.2,22.6,23.8,24.8
4106.0,8.85001444927559,9.7,4.6,4.9,12.2,18.9
4107.0,7.172804421961712,7.2,8.6,7.9,8.0,5.4
4108.0,12.980934765844127,13.1,17.4,17.0,13.7,12.9
4109.0,7.376712145673716,7.7,9.5,16.7,15.5,15.1
4110.0,15.938408865104138,16.5,16.0,12.8,14.2,9.6
4111.0,6.702435588959818,6.2,3.2,1.5,0.0,2.6
4112.0,12.208974470662968,13.0,13.0,9.4,14.3,13.3
4201.0,10.971179107071269,11.3,12.5,15.0,14.2,15.8
4202.0,19.71027427014807,19.8,15.2,18.4,13.4,8.0
4203.0,15.122377549450098,15.8,22.3,26.1,23.3,23.6
4204.0,13.66629380285261,13.8,19.3,19.2,15.1,16.1
4205.0,34.88671983054471,36.8,38.1,36.5,37.1,34.3
4206.0,33.671622070389574,36.7,36.8,41.6,48.8,37.6
4207.0,29.44493121179333,31.1,34.2,37.1,36.0,34.9
4208.0,28.880289405954677,29.8,28.6,28.3,25.0,26.8
4212.0,23.745207545055756,25.1,24.1,22.2,25.2,20.0
4301.01,23.3625355491926,24.9,26.7,25.5,28.7,21.6
4301.02,8.388130300045905,9.0,10.1,10.6,14.0,16.4
4302.0,13.394386956713593,14.1,15.3,20.4,20.1,19.8
4303.0,29.66692829058843,31.8,30.8,29.8,35.2,27.6
4304.0,21.138954897466334,22.1,21.9,24.2,23.6,28.7
4305.0,27.324691403665867,28.3,25.8,25.4,23.8,25.6
4306.0,20.961784105453688,21.8,18.4,17.7,18.7,20.4
