tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
2207.02,18.005205543978498,18.293,21.374000000000002,24.022,25.565,21.476
2209.01,20.29802054107906,20.89,21.230999999999998,19.868,19.34,15.822000000000001
2209.02,23.355960923239955,23.915,27.128,25.429000000000002,22.526,22.250999999999998
2210.0,22.197420362098796,22.768,25.261,21.95,18.695,16.757
2211.0,10.727350557744689,11.214,6.154,4.2989999999999995,7.44,7.662999999999999
2212.0,9.364840933015639,9.295,10.93,14.494000000000002,15.418,9.793
2213.0,14.906926260500564,15.238,15.532,15.328,15.76,15.252
2214.0,17.58734187784509,17.963,19.221,22.655,26.224,28.039
2215.0,11.590419455454729,11.877,11.383,9.351,12.068,11.762
2216.0,4.518549012611653,4.189,7.024,7.602,6.3020000000000005,4.621
2222.0,3.445014007670838,3.24,3.9210000000000003,3.384,4.882,6.44
2225.0,16.759658421509393,17.292,14.888,15.597000000000001,15.492,14.11
2226.0,11.185824234359425,11.385,10.232000000000001,10.513,9.331,9.126
2227.0,13.399171381498794,13.559000000000001,14.173,16.078,13.659,20.564
2228.0,19.11105521754383,19.634,20.513,24.39,32.577,26.21
2229.0,15.582973624721058,16.054000000000002,15.718,16.145,22.840999999999998,26.653000000000002
2301.0,11.336086744403097,11.374,14.095,16.625,21.131999999999998,18.647000000000002
2302.0,17.206043567101183,17.666,19.016,14.661,14.409,8.947000000000001
2303.0,17.97846316349834,18.266,22.136999999999997,22.125999999999998,22.768,26.695
2304.0,18.406336964475855,19.073,15.154000000000002,15.629000000000001,13.623,11.328
2305.0,18.421347689578425,18.879,21.456,20.152,24.699,29.247
2306.0,13.22193686391894,13.615,9.476,16.325,20.686999999999998,19.725
2307.0,18.87225777959881,19.410999999999998,17.346,20.578000000000003,18.849,19.885
2308.0,9.911885124405385,9.847000000000001,10.377,17.507,18.098,22.412
2309.0,9.876093851193897,9.943999999999999,9.583,11.267000000000001,10.12,9.089
2311.0,10.213352118885313,10.595,7.09,3.08,3.0839999999999996,0.0
2312.0,9.934898919261837,10.263,5.957999999999999,4.234,1.758,3.2760000000000002
2315.0,1.6401783992845296,1.38,1.4069999999999998,0.064,0.055999999999999994,0.054000000000000006
2402.0,5.161156567622429,5.043,5.1739999999999995,4.641,4.56,2.864
2403.0,7.007542595177427,7.041,5.777,4.762,3.4219999999999997,3.412
2405.0,7.303365869730062,7.064,9.796,10.503,6.142,4.705
2406.0,14.767291495071063,14.875,13.507,20.701,10.454,8.675
2407.0,10.73283755075185,10.484000000000002,15.277000000000001,22.765,23.877,22.339000000000002
2408.0,14.436577849057276,14.464,19.218,20.336,19.24,16.183
2409.0,11.180040439090037,11.481,11.245999999999999,8.621,13.811,11.83
2410.0,6.604814003261578,6.6129999999999995,6.729,4.611000000000001,6.307,5.546
2411.0,4.940704065174981,4.53,12.552999999999999,6.7,8.013,8.331
2412.0,11.76309546561168,11.979000000000001,11.065999999999999,12.245,12.530999999999999,8.369
2413.0,3.7995476221564255,3.708,2.9819999999999998,1.7930000000000001,3.9960000000000004,3.596
2414.0,5.339120015779678,5.257999999999999,5.479,3.145,2.793,1.845
2415.0,6.742362834381143,6.754,7.046,3.096,2.548,3.218
2416.0,9.61096613151844,10.033,5.73,4.239,9.845,10.458
2420.0,5.768538707581299,5.691,6.372999999999999,4.426,5.171,7.442
2421.0,5.562680689733532,5.586,5.044,3.069,7.079,4.032
2422.0,4.98248265179762,4.89,4.258,4.843,5.9910000000000005,5.218
2423.0,3.0276246518025625,2.668,4.829,5.0489999999999995,3.5589999999999997,8.083
2424.0,20.08529436816682,20.534000000000002,22.386,22.000999999999998,19.046,16.447
2425.0,16.81433106928015,17.282,18.712,15.558,19.209,19.762999999999998
2426.0,8.249900547860404,8.46,4.5169999999999995,5.267,4.992,6.303999999999999
2427.0,8.268932906572935,8.437000000000001,5.388,5.13,3.6430000000000002,4.071000000000001
2428.0,12.105714646249247,12.353,10.693,9.89,5.597,8.347999999999999
2429.0,5.27697602183349,4.891,11.056,10.067,12.265,14.43
2430.0,9.405799403709501,9.222999999999999,15.972000000000001,11.779000000000002,12.115,10.54
2431.0,12.198408984625345,11.997,18.736,22.092,22.838,23.883000000000003
2432.0,17.540958677029145,18.02,16.986,19.028,19.565,30.703000000000003
2433.0,9.488937958600905,9.602,8.287,9.607000000000001,8.887,6.599
2434.0,9.599794671290987,9.592,13.367,12.107000000000001,17.497,15.382
2435.0,7.443370583440162,7.5329999999999995,6.379,3.883,3.313,3.657
2502.0,8.175594608790153,8.252,7.716,7.015,7.986000000000001,5.808
2503.0,7.309549053496906,7.465,5.6339999999999995,4.002,7.303,12.011
2504.0,6.427259470442583,6.356,6.6739999999999995,5.859,5.17,4.503
2505.0,5.1835501379668605,5.091,5.063,5.465,7.905,7.801
2506.0,0.3484339720250764,0.0,0.0,0.327,0.705,0.6809999999999999
2507.0,2.0175431440633815,1.756,1.806,1.186,0.97,0.209
