tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
2302,,0.105,0.123,0.1490,0.182,0.133
2303,,0.085,0.060,0.0730,0.031,0.025
2304,,0.180,0.153,0.1040,0.079,0.118
2305,,0.065,0.042,0.0130,0.044,0.042
2306,,0.061,0.046,0.0520,0.089,0.075
2307,,0.051,0.036,0.0610,0.049,0.069
2308,,0.139,0.111,0.1160,0.073,0.076
2309,,0.079,0.075,0.0430,0.050,0.061
2311,,0.109,0.159,0.1010,0.101,0.095
2312,,0.044,0.026,0.0350,0.021,0.043
2315,,0.042,0.021,0.0160,0.000,0.000
2402,,0.350,0.312,0.3260,0.349,0.274
2403,,0.272,0.284,0.2880,0.265,0.278
2405,,0.412,0.413,0.4120,0.427,0.403
2406,,0.284,0.356,0.3720,0.404,0.416
2407,,0.274,0.222,0.1480,0.134,0.098
2408,,0.073,0.083,0.0450,0.074,0.132
2409,,0.122,0.115,0.1520,0.167,0.137
2410,,0.144,0.121,0.0960,0.153,0.173
2411,,0.220,0.190,0.1940,0.147,0.162
2412,,0.240,0.279,0.3080,0.353,0.323
2413,,0.429,0.357,0.3630,0.385,0.357
2414,,0.295,0.279,0.2870,0.255,0.233
2415,,0.209,0.222,0.2640,0.279,0.290
2416,,0.203,0.195,0.1740,0.173,0.212
2420,,0.302,0.260,0.2410,0.268,0.233
2421,,0.394,0.346,0.2970,0.292,0.248
2422,,0.266,0.266,0.2310,0.229,0.239
2423,,0.222,0.171,0.1770,0.198,0.187
2424,,0.209,0.269,0.2870,0.276,0.292
2425,,0.194,0.164,0.1450,0.136,0.133
2426,,0.196,0.194,0.1770,0.152,0.115
2427,,0.162,0.118,0.1220,0.074,0.051
2428,,0.214,0.253,0.2400,0.252,0.228
2429,,0.231,0.196,0.2150,0.231,0.132
2430,,0.169,0.173,0.1940,0.184,0.210
2431,,0.298,0.283,0.2600,0.238,0.256
2432,,0.254,0.243,0.2480,0.262,0.311
2433,,0.217,0.226,0.2280,0.222,0.243
2434,,0.267,0.218,0.2140,0.230,0.240
2435,,0.266,0.296,0.2950,0.326,0.319
2502,,0.117,0.077,0.1160,0.096,0.105
2503,,0.069,0.061,0.0660,0.052,0.060
2504,,0.086,0.071,0.1000,0.122,0.102
2505,,0.251,0.247,0.2640,0.245,0.261
2506,,0.132,0.143,0.1240,0.096,0.075
2507,,0.048,0.053,0.0560,0.071,0.066
2508,,0.082,0.067,0.0680,0.073,0.101
2510,,0.009,0.011,0.0390,0.063,0.071
2511,,0.049,0.050,0.0630,0.075,0.052
2512,,0.157,0.154,0.1060,0.109,0.120
2513,,0.116,0.079,0.0610,0.050,0.043
2514,,0.051,0.060,0.0630,0.073,0.090
2515,,0.085,0.076,0.0780,0.091,0.102
2516,,0.049,0.044,0.0530,0.049,0.024
2517,,0.009,0.013,0.0080,0.025,0.049
2518,,0.028,0.028,0.0390,0.025,0.024
2519,,0.044,0.048,0.0400,0.063,0.051
2520,,0.060,0.049,0.0110,0.030,0.041
2521.01,,0.040,0.055,0.0480,0.061,0.055
2521.02,,0.084,0.060,0.0520,0.062,0.079
2522.01,,0.060,0.074,0.0500,0.034,0.065
2522.02,,0.047,0.061,0.0530,0.090,0.087
2601,,0.000,0.000,0.0000,0.015,0.016
2602,,0.011,0.010,0.0170,0.015,0.000
2603,,0.089,0.047,0.0470,0.027,0.025
2604,,0.010,0.010,0.0190,0.017,0.017
2605,,0.017,0.014,0.0140,0.024,0.000
2606,,0.034,0.008,0.0270,0.045,0.074
2607,,0.000,0.024,0.0600,0.084,0.061
2608,,0.017,0.021,0.0240,0.015,0.076
2609,,0.027,0.053,0.0310,0.028,0.054
2610,,0.087,0.086,0.0880,0.067,0.000
2705,,0.000,0.000,0.0210,0.000,0.069
2712,,0.053,0.051,0.2040,0.190,0.133
2713,,0.086,0.071,0.0460,0.022,0.011
2714,,0.060,0.028,0.0230,0.000,0.058
2715,,0.051,0.063,0.0520,0.040,0.091
2718,,0.037,0.087,0.0350,0.021,0.000
2801,,0.417,0.400,0.3860,0.374,0.318
2804,,0.051,0.059,0.0910,0.094,0.153
2808,,0.091,0.081,0.0620,0.064,0.044
2809,,0.097,0.023,0.0000,0.000,0.000
2819,,0.312,0.297,0.3170,0.357,0.319
2827,,0.184,0.144,0.1490,0.187,0.245
2828,,0.216,0.238,0.2190,0.244,0.213
2831,,0.156,0.150,0.1250,0.108,0.078
2832,,0.181,0.215,0.2280,0.248,0.320
2838,,0.237,0.209,0.1670,0.168,0.208
2909,,0.035,0.037,0.0350,0.030,0.029
2912,,0.111,0.060,0.0430,0.063,0.051
2916,,0.050,0.071,0.0300,0.029,0.000
2922,,0.063,0.074,0.0510,0.066,0.069
2924,,0.053,0.052,0.0200,0.006,0.000
2925,,0.064,0.087,0.0600,0.049,0.088
3005,,0.031,0.027,0.0140,0.015,0.027
3006,,0.069,0.047,0.0720,0.073,0.090
3007,,0.045,0.068,0.0820,0.049,0.049
3008,,0.030,0.046,0.0650,0.066,0.067
3009,,0.030,0.053,0.0200,0.024,0.021
