tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
2515,,25069,30014,31468,32135,32436
2516,,33912,31411,31478,28826,28478
2517,,26950,24931,23281,22230,27321
2518,,21958,21946,20750,19722,28750
2519,,22177,21913,23356,22587,21698
2520,,23091,24805,23210,21822,22750
2521.01,,31458,32664,32377,30509,30294
2521.02,,32080,28453,27665,28257,26539
2522.01,,29402,28488,29964,27553,29016
2522.02,,24705,26100,32844,37724,34632
2601,,12033,15000,15515,11723,12356
2602,,24830,23500,20769,25987,29000
2603,,30375,28643,19931,22609,22500
2604,,25313,25264,25938,22063,26103
2605,,30699,28819,28750,26447,22350
2606,,20820,27586,25994,25335,22986
2607,,22679,23533,26495,25685,25224
2608,,23125,28661,24688,24761,28563
2609,,25469,22045,17697,21477,28750
2610,,29423,34573,33110,43487,34648
2705,,15754,17255,16738,16554,20795
2712,,24519,25571,33063,31049,30183
2713,,24779,16905,20035,18860,23438
2714,,21742,28750,31215,29063,28155
2715,,26912,22250,28636,29792,27477
2718,,26023,27031,29926,30573,34357
2801,,109286,104296,101194,99583,93598
2804,,17292,15000,18021,24531,44554
2808,,16648,18750,18750,19074,18542
2809,,20301,20225,19896,13516,14063
2819,,77069,79179,84069,92321,86199
2827,,65898,56531,51287,54602,62572
2828,,56188,64194,58194,61250,46801
2831,,46333,45764,41944,39180,29923
2832,,51875,50363,50050,49609,55096
2838,,59571,52393,49596,50781,54875
2909,,20982,18226,16622,17104,22833
2912,,21488,21763,20792,19375,17926
2916,,38182,33864,33500,50556,43611
2922,,22316,21573,22148,24008,25331
2924,,23241,24010,19571,22714,23179
2925,,35568,29643,31875,27122,30714
3005,,34129,34852,36377,35463,39375
3006,,40909,38611,39142,38958,36138
3007,,27688,29505,28500,31545,32917
3008,,27083,29805,29167,30409,31644
3009,,22656,25272,25494,24127,27681
3011,,28398,28058,26572,27727,32361
3012,,29375,31026,31781,35918,36938
3016,,29741,28353,27549,29362,28664
3017.01,,28964,35597,35215,36136,44830
3017.02,,29599,25734,23351,28125,32833
3018.01,,32716,33449,34068,35197,35245
3018.02,,32702,37321,35952,37928,31250
3018.03,,30568,32464,31858,34219,35938
3102,,63750,55313,63015,50500,55089
3103,,39331,50179,50324,49676,48462
3104,,45795,49792,42989,39792,28636
3105,,41486,35927,32316,30139,25455
3106,,26698,28352,30920,29778,30619
3107,,40434,33500,32500,29236,24079
3108,,37813,38780,38062,39635,40871
3109,,29183,33924,32692,38081,36086
3201,,104611,103318,100073,91250,96896
3204,,160455,145250,121875,89167,87250
3206,,84934,84201,70577,65575,68644
3301,,83391,74009,73286,71563,74607
3302,,77061,80726,79973,74519,76467
3403,,27197,26402,29318,23056,24861
3404,,34048,26364,32568,31569,39688
3405,,21477,27770,27917,17167,25515
3406,,11797,11708,12287,12826,12333
3501,,43255,45659,40742,41571,38459
3504,,9775,9500,8798,11650,6696
3510,,45529,45806,47545,44728,44588
3511,,11518,11358,13658,13178,11925
3514,,9845,9680,9954,9550,10670
3515,,26250,29286,31167,30652,29609
3602,,21635,16317,16083,16933,16338
3801,,21429,31696,22083,26713,19936
3802,,19844,18897,17661,19167,18176
3805,,19375,27102,32188,26883,24728
3807,,27037,26100,26250,36979,29052
3812,,40652,41119,36295,34527,35750
3814,,31875,38462,44844,55093,52823
3815,,34608,28942,27723,15966,27214
3817,,0,0,0,0,0
3818,,28359,30757,27800,23726,22778
3819,,38438,38125,36860,33250,36020
3901,,61563,54886,48958,39688,37222
3902,,39179,44491,38143,60130,66277
3903,,21490,20938,18158,23077,26263
3904,,25880,23860,23885,21439,21654
3905,,44038,44053,43947,44962,41500
3906,,69250,64609,58895,57768,55650
3907,,50991,52484,50932,47727,46979
4003,,36250,39760,41964,41641,40938
4004,,28885,23431,19559,24583,19904
4005,,23387,25323,17524,24194,21319
4008,,15425,11806,12703,14288,14433
4101,,37332,34083,33050,33942,32372
4102,,22656,22361,19453,23885,25930
4105,,47056,43611,40417,45647,38266
4106,,41121,41136,48582,49655,47311
4107,,47135,43145,44034,44539,37382
4108,,41288,38108,38318,39449,39901
4109,,51552,54246,58056,60174,55109
4110,,60388,56123,55303,50653,45407
4111,,102039,100250,74375,75054,76875
4112,,88125,94306,85000,69750,62303
4201,,17481,16847,14330,13807,16725
4202,,37583,31399,29931,30673,30259
4203,,31083,33362,33359,40455,36325
4204,,16150,18263,23869,19358,30144
4205,,23750,24479,22708,23125,23325
4206,,17095,18179,15658,16552,22250
4207,,21868,26409,27500,28793,30069
4208,,24545,23445,30284,27292,31786
4212,,26635,27212,27955,23400,18049
4301.01,,28638,29423,33197,31580,28221
4301.02,,20105,26596,26812,27376,27198
4302,,27440,20564,16449,20417,24085
4303,,19429,23333,34773,42946,41225
4304,,23448,22940,24688,34511,24005
4305,,18772,24778,21500,22922,23573
4306,,28664,29435,32128,36683,31086
4307,,28750,30500,31189,30315,31250
4308,,34948,34939,34771,34782,33060
4309,,24375,25068,25250,29250,23813
4312,,53875,54712,58083,49417,46414
4313.01,,22760,22234,21673,22772,25815
4313.02,,24352,20332,20747,21371,21348
4314,,21360,27139,30914,30762,28605
4401.01,,26018,28381,25169,25469,25307
4401.02,,21618,22054,22422,28224,30319
4402.01,,36394,35861,34821,26596,28056
4402.02,,27563,27128,27329,25998,27515
4403,,49207,53224,43188,45839,46371
4406,,46250,44602,44663,44891,57188
4407,,37361,44250,39306,43500,42286
4408,,21108,20104,21623,26897,25577
4409,,38550,38500,38293,38016,47315
4503,,43594,40781,42049,37056,39803
4601,,33060,32267,30285,31178,31267
4602,,27754,28649,22557,22247,24894
4603.01,,33250,34650,38646,35052,35821
4603.02,,21322,20981,19625,20376,20945
4604,,41734,42697,42772,45096,41736
4605,,37063,41145,42365,48504,44496
4606,,31442,25694,19659,23594,21033
4607,,20442,20900,22593,19321,22753
4610,,12818,13624,13416,14562,16792
4701,,23274,25417,19083,27500,34948
4801,,60313,61382,62813,59330,66712
4802,,34271,35417,38919,39597,44643
4803,,53352,54405,58750,58429,54744
4804,,50774,55603,59938,56698,59473
4805,,48375,46667,49046,52500,51953
4903,,48063,49018,44118,38568,38654
4904,,56447,53971,52303,54327,52500
4905,,50846,55123,55038,49375,47426
4906,,50917,41384,47983,48145,44167
4907,,35504,37368,36597,42500,55275
4908,,41848,37891,34659,41062,41554
4909.01,,38188,33996,31013,26741,30991
4909.02,,41119,41377,42630,39714,43200
4910,,23934,24683,25688,25443,25855
4911,,45190,49032,48110,46333,45734
4912,,38683,44500,38576,39688,50156
4913,,22054,27917,30208,33039,29211
4914,,25904,27434,25313,31582,37799
5001,,41425,45190,46020,47381,43923
5002,,30341,29297,29215,24923,32543
5003,,33836,34875,43141,43772,50200
5101,,35262,30020,29213,32850,35227
5102,,42253,41719,43553,47841,47500
5103,,36192,35786,33013,32500,35546
5201,,36164,34583,34737,28365,31875
5202,,35667,34219,29894,30382,26759
5203,,42527,44231,40768,40703,44474
5204,,46778,45125,45799,45000,41098
5205,,63727,67009,62447,62965,60229
5206,,39537,39949,52120,44858,51509
5301,,22577,21250,22289,28910,28673
5302,,25590,23634,25434,26559,31806
5303,,40625,38177,38472,40734,35819
5304,,55781,51167,42863,49194,46028
5305.01,,40446,39366,39074,38327,38413
5305.02,,32250,41250,36987,39688,48190
5305.03,,39489,42355,48219,60135,53407
5306,,22344,26583,30302,27927,31905
5401.01,,14943,14005,13805,14913,13595
5401.02,,14850,14932,14536,14030,14438
5501,,42447,44824,48166,43358,47215
5502,,66583,61316,54571,53568,51544
5601,,56000,51719,39063,31354,31023
5602,,43207,36339,36481,47917,45658
5603,,54120,57300,56914,55200,55441
5604,,44400,50284,49250,64904,65724
5607,,53600,54327,53068,44286,49982
5608,,61714,61809,64228,62731,63875
5609,,76154,73073,74188,74098,74451
5610,,66386,67700,63934,62500,65786
5611,,76774,75972,73875,77222,72262
5701,,51719,47045,51650,52115,51000
5702,,41607,45403,62344,46477,42554
5703,,44029,42647,42917,41947,47661
5704,,43143,43477,41250,43839,42350
5705,,43393,41950,41250,40456,38723
5801,,40205,34028,38785,36771,37088
5802,,33589,32312,31567,31335,32294
5803,,36618,34848,31284,29167,42645
5804,,32500,32114,35591,35663,29353
5805.01,,40683,40273,43696,43274,42669
5805.02,,37423,37162,40481,45712,47692
5806,,39814,38354,38581,39542,40085
5807,,34714,39089,35375,36554,37964
5808,,30547,26739,25900,27656,35491
5905,,49758,50352,51667,52625,54133
5906,,39383,39148,42180,44383,41864
5907,,45017,41136,41644,40938,41463
6004,,34975,35928,41477,41652,43153
6006,,31952,31788,31394,34479,33398
6007,,31023,30696,35833,34878,37939
6009,,46389,47051,42639,38214,40833
6103,,35304,38352,35979,32128,33930
6104,,22140,22396,26276,27238,30071
6108,,51719,61548,70938,76801,77656
6110,,19909,19500,18906,17019,15893
6111,,22620,23724,24658,27708,27161
6112,,28276,27647,32171,32262,36726
6113,,27143,28438,28889,29419,31384
6114,,31250,30927,32169,30396,28101
6115,,27994,29598,31623,31954,32205
6116,,33485,30530,35278,45994,51336
6117,,29375,28355,31125,25493,26813
6118,,25109,22829,26348,26902,32945
6119,,25806,25642,21875,25915,23824
6120,,25848,27098,29531,34245,27188
6121,,24141,22250,29107,30000,28555
6201,,42321,45638,46250,49659,53782
6202,,49848,46146,48986,43854,44732
6203,,48340,48231,47560,42431,46964
6204,,42661,41442,42765,52292,52333
