tract,percent_percent_walked_2016,percent_percent_walked_2015,percent_percent_walked_2014,percent_percent_walked_2013,percent_percent_walked_2012,percent_percent_walked_2011
1403.01,,5.610561056,3.865336658,4.934210526,4.996755354,3.452685422
1403.02,,11.37193532,10.48505634,13.13537997,12.22839818,7.897111913
1404,,7.408412483,6.950934579,8.262967431,8.125819135,9.75862069
1405,,10.32388664,11.3490364,7.849133537,8.018867925,9.900442478
1406.01,,13.27705295,13.43396226,19.61307538,16.91331924,14.66480447
1406.02,,11.736033,9.826376062,8.042600073,7.437379576,8.8638195
1407.01,,8.692628651,7.82967033,5.757575758,5.782975958,4.926108374
1407.02,,11.6218841,11.37583893,11.04895105,8.297089328,5.224144017
1408,,14.05152225,15.33742331,12.64928101,11.49114173,10.64647921
1502,,7.441655658,10.65743945,10.49056604,11.57705171,12.60224949
1503,,8.348498635,7.658212263,6.813845735,8.059701493,7.836990596
1504.01,,3.519932146,5.588368923,4.711111111,7.898259705,8.469601677
1504.02,,4.681069959,4.708400214,3.468547913,2.315325248,4.21686747
1505.01,,4.466631634,8.231707317,8.009592326,9.223553934,7.807486631
1505.02,,7.715281234,8.442669709,8.664772727,6.511218654,6.957287539
1506,,5.183246073,3.13876652,3.676880223,5.098684211,6.91318328
1507,,4.057591623,4.116117851,4.114832536,4.143784324,3.288100209
1508,,5.114401077,4.931034483,6.1646508,7.348242812,4.823151125
1510.01,,6.887532694,2.849740933,1.486013986,5.216693419,9.176984705
1510.02,,5.617455896,8.558558559,6.207987347,6.245210728,9.135522839
1511,,7.890961263,6.114180479,4.474002418,6.800348736,7.817442386
1512,,5.126760563,10.01070664,9.260273973,9.429824561,8.277404922
1601,,8.386075949,10.20080321,6.120826709,5.73630137,5.454545455
1602,,14.41340782,20.32734952,15.64551422,11.14718615,9.656652361
1603,,7.118807119,8.058058058,10.86605702,18.76892028,18.58974359
1604,,14.96815287,12.26199543,14.03249631,12.25092251,9.360649947
1605.01,,5.73089701,7.110091743,7.270964615,9.64268233,12.01392919
1605.02,,8.718689788,8.724534987,9.129332206,8.603964572,6.955736224
1606.01,,13.68691189,12.79069767,10.04926108,7.761828814,2.944862155
1606.02,,12.20880069,9.842696629,10.20696143,11.89640035,8.948261238
1607,,10.41009464,11.11945905,8.571428571,11.02336295,6.330837304
1608,,10.9787508,9.694041868,10.64243997,9.496057593,10.31487514
1609,,20.23721275,15.42553191,7.996768982,10.82089552,9.589041096
1610,,13.31987891,11.83317168,10.30368764,10.86729363,8.12567714
1611,,15.00484027,18.86792453,18.92629663,24.08888889,22.16167121
1612,,8.540145985,11.02693603,9.206081081,8.212560386,7.011070111
1613,,10.78431373,11.7453348,7.497116494,8.482142857,6.976744186
1701,,7.625899281,7.575757576,7.446808511,7.663782447,5.386740331
1702,,2.917647059,3.54419022,6.02171767,6.103051526,3.735059761
1703,,5.907172996,5.405405405,3.965900667,3.617669459,3.21880651
1704,,4.081632653,2.741290691,2.003338898,2.467685076,2.537485582
1705,,5.188516084,3.513313609,3.922274199,2.941176471,2.424009234
