WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_NAME_5
6,36,ALDEN WENTWORTH NRSN HM - LOWER,201,W,69,St,,,
6,37,NEIL SCHOOL - GYM,8555,S,Michigan,Av,,,
6,38,ISRAEL METH CMTY CHURCH - CIVIC,7614,S,Cottage,Grove,Av,,
6,39,TANNER SCHOOL - GYM,7350,S,Evans,Av,,,
6,40,SHEDD SCHOOL - CAFETERIA,200,E,99th,St,,,
6,41,CRERAR PRESBYTERIAN CHURCH - HA,8100,S,Calumet,Av,,,
6,42,ST PAUL MB CHURCH - BANQUET HALL,6954,S,Union,Av,,,
6,43,ST DOROTHY SCHOOL - GYM,7740,S,Eberhart,Av,,,
6,44,RUGGLES SCHOOL - GYM,7831,S,Prairie,Av,,,
6,45,ST DOROTHY SCHOOL - GYM,7740,S,Eberhart,Av,,,
6,46,DIXON SCHOOL - GYM,8306,S,St,Lawrence,Av,,
6,47,DIXON SCHOOL - GYM,8306,S,St,Lawrence,Av,,
6,48,PARK MANOR CHRISTIAN CHURCH - HA,600,E,73,St,,,
6,49,WENTWORTH HAVEN HOMES - CMTY RM,7147,S,Wentworth,Av,,,
6,50,ABBOTT PK SATELLITE SENIOR CTR -,49,E,95,St,,,
6,51,WHITNEY YOUNG LIBRARY - AUDITORI,7901,S,Ml,King,Dr,,
6,52,CHATHAM FIELDS LUTHERAN CHURCH-H,8050,S,St,Lawrence,Av,,
6,53,CARTER TEMPLE CHURCH - CHOIR RM,7841,S,Wabash,Av,,,
6,54,CHATHAM FIELDS LUTHERAN CHURCH-H,8050,S,St,Lawrence,Av,,
6,55,PARK MANOR CHRISTIAN CHURCH - HA,600,E,73,St,,,
6,56,PARK MANOR CHRISTIAN CHURCH - HA,600,E,73,St,,,
6,57,CHATHAM FIELDS LUTHERAN CHURCH-H,8050,S,St,Lawrence,Av,,
6,58,NEIL SCHOOL - GYM,8555,S,Michigan,Av,,,
6,59,SENIOR SUITES OF CHATHAM - DININ,8300,S,Cottage,Grove,Av,,
7,1,HOYNE SCHOOL - MULT PURPOSE RM,8905,S,Crandon,Av,,,
7,2,COLES SCHOOL - GYM,8440,S,Phillips,Av,,,
7,3,BRADWELL SCHOOL - AUDITORIUM,7736,S,Burnham,Av,,,
7,4,BOWEN HIGH SCHOOL - SOCIAL RM,2710,E,89th,St,,,
7,5,BOWEN HIGH SCHOOL - SOCIAL RM,2710,E,89th,St,,,
7,6,LIGHTHOUSE BAPTIST CHURCH - ANNE,7945,S,Exchange,Av,,,
7,7,LIGHTHOUSE BAPTIST CHURCH - ANNE,7945,S,Exchange,Av,,,
7,8,ST MARY MAGDALENE - ACTIVITY RM,8435,S,Saginaw,Av,,,
7,9,SOUTH SHORE COMMUNITY CHURCH - D,7401,S,Yates,Bv,,,
7,10,POWELL SCHOOL-GYM,7530,S,South,Shore,Dr,,
7,11,POWELL SCHOOL-GYM,7530,S,South,Shore,Dr,,
7,12,MAHALIA JACKSON APTS - DINING R,9177,S,South,Chicago,Av,,
7,13,CYC REBECCA CROWN CMTY CTR - G,7601,S,Phillips,Av,,,
7,14,CHRIST BIBLE CHURCH - MULTI PURP,7877,S,Coles,Av,,,
7,15,BUCKINGHAM SCHOOL - MULTI-PURPOS,9207,S,Phillips,Av,,,
7,16,CYC REBECCA CROWN CMTY CTR - G,7601,S,Phillips,Av,,,
7,17,EXCELLENT WAY COGIC - MULTIPURP,2510,E,79,St,,,
7,18,LIGHTHOUSE BAPTIST CHURCH - ANNE,7945,S,Exchange,Av,,,
7,19,EXCELLENT WAY COGIC - MULTIPURP,2510,E,79,St,,,
7,20,THORP SCHOOL - AUDITORIUM GYM 8,914,S,Buffalo,Av,,,
7,21,ST MARY MAGDALENE - ACTIVITY RM,8435,S,Saginaw,Av,,,
