WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_TYPE
5,15,Hyde Park West Apartments,5325,S,Cottage,Grove,,,Ave
5,16,Wadsworth Stem School,6650,S,Ellis,,,,Ave
5,17,Good Shepherd Manor,6720,S,Cornell,,,,Ave
5,18,Catholic Theological Union,5401,S,Cornell,,,,Ave
5,19,Pioneer Co - Op,5429,S,Dorchester,,,,Ave
5,20,Congregation Rodfei Zedek,5200,S,Hyde,Park,,,Bv
5,21,Kozminski Cmty Academy,936,E,54th,,,,St
5,22,Regents Park Apartments,5050,S,Lake,Shore,,,Dr
5,23,Catholic Theological Union,5401,S,Cornell,,,,Ave
5,24,Treasure Island Foods,1526,E,55th,,,,St
5,25,The Parkways,6720,S,East,End,,,Ave
5,26,Shorewind Towers,2373,E,70th,,,,St
5,27,Ray School,5631,S,Kimbark,,,,Ave
5,28,ABJ Community Svcs,1818,E,71st,,,,St
5,29,Senior Suites Of South Shore,2355,E,67th,,,,St
5,30,South Shore Fine Arts Acdy,1415,E,70th,,,,St
5,31,OKeefe School,6940,S,Merrill,,,,Ave
5,32,Senior Suites Of South Shore,2355,E,67th,,,,St
5,33,Park Shore East Assoc,6250,S,Harper,,,,Ave
5,34,The Cloisters,5801,S,Dorchester,,,,Ave
5,35,1700 E 56th St Condo Assoc,1700,E,56th,,,,St
5,36,Cyril Apts,7150,S,Cyril,,,,Ave
5,37,Montgomery Place,5550,S,South,Shore,,,Dr
5,38,OKeefe School,6940,S,Merrill,,,,Ave
5,39,University Park Condo,1450,E,55th,,,,Pl
5,40,OKeefe School,6940,S,Merrill,,,,Ave
5,41,1700 E 56th St Condo Assoc,1700,E,56th,,,,St
6,1,Crerar Presbyterian Church,8100,S,Calumet,,,,Ave
6,2,Whitney Young Library,7901,S,King,,,,Dr
6,3,Pirie School,650,E,85th,,,,St
6,4,Lafayette Plaza House,50,W,71st,,,,St
6,5,St Paul MB Church,6954,S,Union,,,,Ave
6,6,Salem Lutheran Church,318,E,74th,,,,St
6,7,Park Manor School,7037,S,Rhodes,,,,Ave
6,8,Carter Temple Church,7841,S,Wabash,,,,Ave
6,9,Brownell School,6741,S,Michigan,,,,Ave
6,10,Hamilton Park,513,W,72nd,,,,St
6,11,7th Day Adventist Acdy,7008,S,Michigan,,,,Ave
6,12,Hamilton Park,513,W,72nd,,,,St
6,13,St Mark Lutheran Church,655,E,88th,,,,St
6,14,Israel Methodist Cmty Church,7614,S,Cottage,Grove,,,Ave
6,15,Prairie Haven Homes,301,W,Marquette,,,,Rd
6,16,Macedonia Tabernacle Ch,109,E,75th,,,,St
6,17,Harvard School,7525,S,Harvard,,,,Ave
6,18,Alden Wentworth Nrsng Hm,201,W,69th,,,,St
6,19,Pleasant Green MB Church,7545,S,Vincennes,,,,Ave
6,20,Harvard School,7525,S,Harvard,,,,Ave
6,21,Wentworth School,7007,S,Loomis,,,,St
6,22,Cleveland Tabernacle Ch,7119,S,Racine,,,,Ave
6,23,Bond School,7050,S,May,,,,St
6,24,Bass School,1140,W,66th,,,,St
6,25,St Paul MB Church,6954,S,Union,,,,Ave
6,26,Salvation Army,845,W,69th,,,,St
6,27,Salvation Army,845,W,69th,,,,St
6,28,Robert Lawrence Senior Housing,655,W,65th,,,,St
6,29,Neil School,8555,S,Michigan,,,,Ave
6,30,Park Manor Christian Church,600,E,73rd,,,,St
6,31,Pirie School,650,E,85th,,,,St
6,32,Deneen School,7240,S,Wabash,,,,Ave
6,33,Salem Lutheran Church,318,E,74th,,,,St
6,34,Chatham Fields Lutheran Church,8050,S,St,Lawrence,,,Ave
6,35,Ruggles School,7831,S,Prairie,,,,Ave
6,36,Dixon School,8306,S,St,Lawrence,,,Ave
6,37,Neil School,8555,S,Michigan,,,,Ave
6,38,Dixon School,8306,S,St,Lawrence,,,Ave
6,39,Tanner School,7350,S,Evans,,,,Ave
6,40,Park Manor Christian Church,600,E,73rd,,,,St
6,41,Carter Temple Church,7841,S,Wabash,,,,Ave
6,42,Chatham Fields Lutheran Church,8050,S,St,Lawrence,,,Ave
6,43,Ruggles School,7831,S,Prairie,,,,Ave
6,44,Whitney Young Library,7901,S,King,,,,Dr
6,45,Dixon School,8306,S,St,Lawrence,,,Ave
6,46,Israel Methodist Cmty Church,7614,S,Cottage,Grove,,,Ave
6,47,Wentworth Haven Homes,7147,S,Wentworth,,,,Ave
6,48,St Columbanus Church,329,E,71st,,,,St
7,1,South Shore Bible Bapt Church,7159,S,Cornell,,,,Ave
7,2,Chicago Medical Training Center,7415,S,East,End,,,Ave
7,3,South Shore United Methodist Ch,7350,S,Jeffery,,,,Bv
7,4,South Shore Community Church,7401,S,Yates,,,,Bv
7,5,South Shore Library,2505,E,73rd,,,,St
7,6,Black School,7133,S,Coles,,,,Ave
7,7,South Shore Community Church,7401,S,Yates,,,,Bv
7,8,Coles Supportive Living Ctr,7419,S,Exchange,,,,Ave
7,9,Excel Academy/ South Shore,7530,S,South,Shore,,,Dr
7,10,CYC Rebecca Crown Cmty Ctr,7601,S,Phillips,,,,Ave
7,11,CYC Rebecca Crown Cmty Ctr,7601,S,Phillips,,,,Ave
7,12,Windsor Park Lutheran Church,7600,S,Saginaw,,,,Ave
7,13,Excel Academy/ South Shore,7530,S,South,Shore,,,Dr
7,14,Senior Suite Of Rainbow Beach,2804,E,77th,,,,Pl
7,15,Calvary Baptist Church,2309,E,80th,,,,St
7,16,Bradwell School,7736,S,Burnham,,,,Ave
7,17,Bradwell School,7736,S,Burnham,,,,Ave
7,18,Senior Suite Of Rainbow Beach,2804,E,77th,,,,Pl
7,19,New Nazareth M B Church,7933,S,Yates,,,,Bv
