GEO.id,GEO.id2,GEO.display-label,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",107.01,24.80620155,3999,407,2569,300,0,11,64,47,374,162,992,264
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",107.02,31.91942669,5163,712,2979,439,14,24,29,27,493,163,1648,551
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",201,13.38804822,3899,433,2706,396,0,11,49,52,622,367,522,222
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",202,17.45553211,6634,667,3923,504,0,15,154,161,1399,279,1158,497
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",203.01,7.156748347,5142,440,3413,451,0,15,100,87,1261,230,368,156
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",203.02,20.38477282,4886,426,3268,466,19,25,19,31,584,173,996,398
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",204,16.79946879,4518,303,2799,310,0,11,22,19,938,215,759,223
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",205,24.64618571,5794,717,3205,534,0,15,28,46,1133,275,1428,478
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",206.01,36.77725118,6330,665,2602,478,17,28,143,133,1240,391,2328,804
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",206.02,26.03938731,4113,389,2108,280,23,33,19,20,892,206,1071,261
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",207.01,8.318042813,1635,184,988,160,10,16,47,32,454,115,136,62
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",207.02,17.69436997,7833,954,3647,643,0,15,477,372,2323,564,1386,506
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",208.01,15.58823529,4760,519,2770,403,65,76,12,18,1171,272,742,389
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",208.02,43.07405434,7508,734,2702,524,0,15,69,65,1503,373,3234,657
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",209.01,31.99440448,5004,699,2618,397,0,15,78,63,707,196,1601,450
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",209.02,13.74247894,4155,528,2104,402,44,44,64,57,1372,277,571,161
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",301.01,20.45391641,3613,407,2436,318,0,11,34,43,404,128,739,297
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",301.02,15.76388889,2880,348,1980,302,0,11,58,47,388,127,454,166
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",301.03,17.00042608,2347,313,1422,250,18,22,24,30,484,316,399,155
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",301.04,17.52222541,3487,417,2409,372,0,11,128,76,339,167,611,276
1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",302,9.7830454,4978,575,4095,314,94,105,28,32,274,173,487,304
1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",303,14.42277933,3231,374,1928,251,0,11,63,61,774,169,466,186
1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",304,15.65349544,2632,241,1724,241,65,64,28,22,403,104,412,136
1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",305,10.37337662,6160,574,4778,439,43,44,110,77,590,206,639,272
1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",306.01,20.56494192,3788,522,2499,427,15,16,0,11,495,256,779,402
1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",306.03,36.71521848,1991,338,1054,195,0,11,6,11,200,112,731,357
1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",306.04,22.3024055,2910,236,1870,230,9,14,0,11,382,126,649,201
1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",307.01,17.37361999,1721,258,1229,213,0,11,3,7,190,67,299,158
1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",307.02,18.59986273,1457,183,750,159,0,11,79,58,357,122,271,142
1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois",307.03,5.080409357,2736,255,2180,234,15,18,21,29,381,134,139,88
1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois",307.06,18.2783678,3578,326,2160,274,60,81,130,99,574,176,654,223
1400000US17031030800,17031030800,"Census Tract 308, Cook County, Illinois",308,7.255747126,4176,543,3357,403,0,11,40,33,476,188,303,204
1400000US17031030900,17031030900,"Census Tract 309, Cook County, Illinois",309,6.838143036,3188,346,2433,262,9,18,58,42,470,156,218,139
1400000US17031031000,17031031000,"Census Tract 310, Cook County, Illinois",310,10.99710602,3801,356,3073,304,7,11,56,48,247,90,418,194
1400000US17031031100,17031031100,"Census Tract 311, Cook County, Illinois",311,14.81152993,4510,395,3533,281,0,11,0,11,309,131,668,263
1400000US17031031200,17031031200,"Census Tract 312, Cook County, Illinois",312,8.01896109,5063,590,3735,446,7,15,27,30,888,346,406,268
1400000US17031031300,17031031300,"Census Tract 313, Cook County, Illinois",313,11.92919446,7796,542,5278,561,134,135,75,63,1379,282,930,308
1400000US17031031400,17031031400,"Census Tract 314, Cook County, Illinois",314,4.790770434,5114,364,4291,415,50,46,0,15,528,217,245,99
1400000US17031031501,17031031501,"Census Tract 315.01, Cook County, Illinois",315.01,11.33315083,3653,481,2431,491,36,47,12,15,760,153,414,179
1400000US17031031502,17031031502,"Census Tract 315.02, Cook County, Illinois",315.02,15.22224981,4027,469,2697,382,12,18,82,68,623,276,613,293
1400000US17031031700,17031031700,"Census Tract 317, Cook County, Illinois",317,8.35563485,6726,562,5603,644,19,35,82,65,460,174,562,279
1400000US17031031800,17031031800,"Census Tract 318, Cook County, Illinois",318,13.42015855,1766,136,1379,139,18,26,4,6,128,54,237,92
1400000US17031031900,17031031900,"Census Tract 319, Cook County, Illinois",319,8.259212198,2361,195,1993,264,0,11,20,21,153,93,195,107
1400000US17031032100,17031032100,"Census Tract 321, Cook County, Illinois",321,12.62321612,6797,730,4874,702,91,121,54,63,920,398,858,406
1400000US17031040100,17031040100,"Census Tract 401, Cook County, Illinois",401,12.01483313,4045,396,3085,310,73,99,41,38,360,113,486,258
1400000US17031040201,17031040201,"Census Tract 402.01, Cook County, Illinois",402.01,10.89642065,6314,509,4403,443,0,15,69,61,1154,237,688,337
1400000US17031040202,17031040202,"Census Tract 402.02, Cook County, Illinois",402.02,20.87928246,6801,771,3218,471,83,133,53,56,2027,536,1420,460
1400000US17031040300,17031040300,"Census Tract 403, Cook County, Illinois",403,11.95054945,2912,315,1819,253,0,11,20,23,725,175,348,168
1400000US17031040401,17031040401,"Census Tract 404.01, Cook County, Illinois",404.01,7.178464606,3009,308,2336,260,21,22,37,33,399,151,216,133
1400000US17031040402,17031040402,"Census Tract 404.02, Cook County, Illinois",404.02,8.449028163,5042,417,3974,423,34,55,46,45,562,262,426,218
1400000US17031040600,17031040600,"Census Tract 406, Cook County, Illinois",406,5.74925816,2696,382,2264,361,11,16,0,11,266,101,155,94
1400000US17031040700,17031040700,"Census Tract 407, Cook County, Illinois",407,5.498078628,3383,384,2748,306,30,47,24,28,395,218,186,122
1400000US17031040800,17031040800,"Census Tract 408, Cook County, Illinois",408,2.931769723,1876,200,1638,195,0,11,15,14,168,76,55,38
1400000US17031040900,17031040900,"Census Tract 409, Cook County, Illinois",409,6.459107807,2152,183,1883,184,0,11,29,31,101,63,139,95
1400000US17031050100,17031050100,"Census Tract 501, Cook County, Illinois",501,3.978159126,2564,224,2199,220,66,46,5,9,192,81,102,87
1400000US17031050200,17031050200,"Census Tract 502, Cook County, Illinois",502,4.282982792,5230,527,4461,433,40,38,28,30,477,188,224,150
1400000US17031050300,17031050300,"Census Tract 503, Cook County, Illinois",503,5.952380952,2520,231,1994,212,7,13,12,19,357,130,150,94
1400000US17031050500,17031050500,"Census Tract 505, Cook County, Illinois",505,3.916260603,5541,489,5021,502,17,26,70,56,216,121,217,162
1400000US17031050600,17031050600,"Census Tract 506, Cook County, Illinois",506,1.433994095,2371,300,2163,292,0,11,0,11,174,75,34,28
1400000US17031050700,17031050700,"Census Tract 507, Cook County, Illinois",507,3.024574669,1587,134,1495,136,0,11,13,15,31,24,48,24
1400000US17031050800,17031050800,"Census Tract 508, Cook County, Illinois",508,2.014388489,1390,119,1256,124,0,11,6,10,100,54,28,22
1400000US17031050900,17031050900,"Census Tract 509, Cook County, Illinois",509,4.915912031,1546,185,1288,193,18,18,9,9,155,50,76,41
1400000US17031051000,17031051000,"Census Tract 510, Cook County, Illinois",510,7.334525939,1677,119,1350,120,7,11,15,13,182,70,123,76
1400000US17031051100,17031051100,"Census Tract 511, Cook County, Illinois",511,8.803301238,1454,173,1226,153,8,12,46,37,46,29,128,113
1400000US17031051200,17031051200,"Census Tract 512, Cook County, Illinois",512,1.711491443,1636,138,1533,140,5,9,14,13,56,33,28,32
1400000US17031051300,17031051300,"Census Tract 513, Cook County, Illinois",513,3.18539728,2794,194,2527,203,0,11,22,24,156,81,89,58
1400000US17031051400,17031051400,"Census Tract 514, Cook County, Illinois",514,6.086492258,1873,220,1587,180,0,11,10,13,162,53,114,66
1400000US17031060100,17031060100,"Census Tract 601, Cook County, Illinois",601,2.654205607,2675,234,2482,222,16,24,19,22,87,60,71,79
1400000US17031060200,17031060200,"Census Tract 602, Cook County, Illinois",602,11.30268199,2088,224,1713,182,7,11,6,9,126,71,236,119
1400000US17031060300,17031060300,"Census Tract 603, Cook County, Illinois",603,4.40270936,3248,366,2939,383,24,30,38,35,104,58,143,78
1400000US17031060400,17031060400,"Census Tract 604, Cook County, Illinois",604,7.354469854,3848,413,3475,357,0,11,17,17,73,49,283,268
1400000US17031060500,17031060500,"Census Tract 605, Cook County, Illinois",605,4.428341385,1242,108,943,111,0,11,17,18,227,71,55,29
1400000US17031060800,17031060800,"Census Tract 608, Cook County, Illinois",608,8.614457831,4980,528,3963,356,11,17,82,90,495,197,429,177
1400000US17031060900,17031060900,"Census Tract 609, Cook County, Illinois",609,4.862023653,6849,765,5700,914,77,86,182,196,557,253,333,183
