tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
1512,, 25.078 , 21.576 , 22.659 , 23.117 , 26.550 
1601,, 16.840 , 14.813 , 11.863 , 7.156 , 9.072 
1602,, 3.551 , 10.309 , 9.785 , 8.912 , 8.884 
1603,, 23.381 , 24.478 , 21.613 , 20.763 , 19.058 
1604,, 20.935 , 21.100 , 20.110 , 20.931 , 22.681 
1605.01,, 32.138 , 28.635 , 30.703 , 33.113 , 32.818 
1605.02,, 26.822 , 26.270 , 31.463 , 31.313 , 26.884 
1606.01,, 26.146 , 28.732 , 32.583 , 29.035 , 17.864 
1606.02,, 18.413 , 15.566 , 12.243 , 11.105 , 13.520 
1607,, 16.969 , 17.111 , 12.173 , 9.083 , 7.411 
1608,, 20.684 , 19.729 , 20.779 , 22.730 , 19.829 
1609,, 9.060 , 8.495 , 3.848 , 6.930 , 9.843 
1610,, 5.807 , 5.968 , 5.619 , 6.418 , 5.667 
1611,, 7.295 , 7.206 , 6.456 , 6.430 , 4.826 
1612,, 21.728 , 22.523 , 19.377 , 22.293 , 20.867 
1613,, 28.656 , 28.100 , 25.720 , 23.165 , 20.756 
1701,, 14.048 , 14.965 , 14.900 , 12.121 , 10.599 
1702,, 16.875 , 22.858 , 24.045 , 24.609 , 24.947 
1703,, 13.689 , 11.285 , 14.373 , 20.595 , 21.958 
1704,, 16.653 , 15.511 , 16.308 , 14.956 , 12.227 
1705,, 11.516 , 11.866 , 10.577 , 9.553 , 9.760 
1706,, 11.746 , 11.608 , 14.826 , 11.250 , 10.720 
1707,, 18.776 , 18.827 , 19.409 , 21.739 , 22.446 
1708,, 15.046 , 13.227 , 9.709 , 9.163 , 8.970 
1709,, 10.989 , 9.080 , 10.747 , 11.778 , 16.648 
1710,, 11.960 , 11.687 , 14.590 , 16.141 , 14.994 
1711,, 14.454 , 16.796 , 13.557 , 15.557 , 16.912 
1801,, 17.853 , 18.942 , 19.786 , 20.858 , 22.724 
1901,, 28.229 , 25.000 , 29.277 , 30.260 , 35.283 
1902,, 23.967 , 27.204 , 25.673 , 23.664 , 26.931 
1903,, 25.544 , 25.289 , 28.733 , 27.923 , 28.809 
1904.01,, 28.177 , 31.389 , 27.891 , 28.779 , 28.550 
1904.02,, 20.954 , 18.074 , 15.916 , 16.731 , 19.720 
1906.01,, 21.619 , 24.744 , 27.361 , 27.827 , 29.961 
1906.02,, 24.862 , 23.362 , 20.706 , 21.462 , 21.534 
1907.01,, 27.776 , 20.573 , 21.149 , 26.576 , 27.981 
1907.02,, 32.856 , 34.106 , 29.250 , 27.093 , 23.375 
1908,, 18.549 , 19.779 , 25.286 , 24.314 , 33.981 
1909,, 19.376 , 17.758 , 15.088 , 16.163 , 12.449 
1910,, 25.091 , 29.024 , 28.591 , 24.853 , 29.022 
1911,, 25.073 , 23.639 , 20.447 , 19.951 , 21.661 
1912,, 34.696 , 34.994 , 31.564 , 35.153 , 33.589 
1913.01,, 27.145 , 26.797 , 33.015 , 33.850 , 29.919 
1913.02,, 29.572 , 28.597 , 22.889 , 26.467 , 31.311 
2001,, 14.848 , 17.184 , 15.051 , 16.421 , 20.473 
2002,, 21.869 , 26.550 , 22.816 , 26.974 , 28.165 
2003,, 29.762 , 28.530 , 26.401 , 26.838 , 23.301 
2004.01,, 21.556 , 18.249 , 22.400 , 22.621 , 25.771 
2004.02,, 18.900 , 24.250 , 22.345 , 23.313 , 24.044 
2101,, 13.764 , 12.272 , 16.863 , 20.893 , 20.798 
2104,, 24.475 , 24.488 , 25.909 , 28.454 , 29.224 
2105.01,, 41.976 , 41.366 , 36.422 , 37.048 , 35.402 
2105.02,, 27.924 , 30.984 , 30.598 , 31.265 , 31.709 
2106.01,, 35.948 , 36.986 , 33.036 , 41.290 , 39.274 
