tract,percent_high_school_2016,percent_high_school_2015,percent_high_school_2014,percent_high_school_2013,percent_high_school_2012,percent_high_school_2011
2209.02,,80.55443953,84.80960611,84.05639269,83.51810193,85.05733276
2210,,76.34011091,74.03951613,75.791875,70.32594524,73.46886228
2211,,88.44907407,85.75121029,85.14821166,83.42388944,81.21079698
2212,,82.79984574,82.24647153,83.63211615,81.5088627,85.06216749
2213,,87.20276697,86.15243742,87.14067008,83.49012797,83.16613995
2214,,85.2905323,87.13443335,85.28400927,81.3634246,83.84362416
2215,,86.03351955,84.40825451,85.20285249,81.96582734,82.03154907
2216,,95.2244898,94.13550668,93.58559322,93.13452915,93.16018441
2222,,97.76995305,98.48022599,97.76666667,97.63607165,94.79235589
2225,,85.37005164,73.29939759,78.26666667,70.59697509,72.68068376
2226,,85.07126782,85.70412844,84.06183925,85.43836616,87.5245283
2227,,82.44122061,79.81943734,80.059375,84.7459596,78.36068722
2228,,71.8128655,70.24827586,74.51034483,64.80338028,62.0719764
2229,,75.34456355,74.12361963,70.33587786,63.12979415,62.25806452
2301,,80.76923077,79.82487644,77.97096774,71.59205298,69.95597964
2302,,63.44452008,64.10076762,62.68332028,60.03070399,68.867603
2303,,63.46153846,54.35277008,53.81632653,45.78148148,42.63974152
2304,,58.49462366,60.14751037,60.69593767,57.2816,57.55757576
2305,,59.2634348,65.61995333,67.494115,62.62112014,57.02945389
2306,,66.73387097,71.44352014,62.01455334,59.90875453,64.30394008
2307,,64.34689507,67.4872428,67.46576577,69.43915663,68.71411091
2308,,76.65245203,76.41260504,78.07559863,73.32466488,73.82804598
2309,,75.14407417,74.44951613,73.06946282,70.89239045,70.90339281
2311,,77.64182425,78.4390642,71.17456243,69.44822547,71.04227734
2312,,63.85052803,67.22944046,63.22337697,67.37276012,67.88065469
2315,,64.83654652,62.97880795,63.22598016,54.95228346,61.2956869
2402,,91.83514774,92.4343083,92.99662261,92.08184524,85.82629247
2403,,96.17437722,97.95420962,98.29444926,99.46887052,98.91136167
2405,,99.45295405,97.93506289,96.59579271,96.2773217,94.87645855
2406,,86.8852459,84.95806452,73.15009208,90.41127983,95.65631518
2407,,88.37209302,89.30683837,76.8002963,77.49015317,76.50828125
2408,,81.52337858,80.2110785,77.70075758,82.86861199,86.04417323
2409,,77.8128286,73.14104478,76.38020566,70.22287234,69.87600555
2410,,74.72808701,74.3496256,71.83383905,68.0044898,67.65080214
2411,,88.84510458,77.52424424,85.07333333,83.1590708,84.79340695
2412,,84.32786885,80.49309232,83.62116788,85.15699422,87.5572697
2413,,94.33374844,92.18956357,92.02256442,93.43139535,93.51569921
2414,,88.57009564,89.24416686,89.73744292,89.38710156,88.78165429
2415,,97.2930561,97.08401266,97.0841791,93.94584493,92.67413289
2416,,91.60796325,92.77346746,94.13686869,91.75937975,90.54576478
2420,,81.89715896,79.13697967,83.92787647,79.64610178,79.62171195
2421,,96.13114754,95.98122195,94.13122255,91.58075214,93.02892845
2422,,95.09421702,92.15206972,92.0861743,90.42723305,90.38222556
2423,,97.22417428,97.28544533,96.87804391,96.69161923,96.38672032
2424,,87.55171117,85.90559701,86.16045977,88.50926205,90.28452107
2425,,84.18514947,85.23836055,81.00704846,82.60818182,85.24399078
2426,,81.01593625,82.97050847,79.92043236,83.20318584,82.79992494
2427,,77.21611722,82.47833462,83.37323122,81.9131664,84.6364
2428,,93.81625442,94.464013,92.45251743,94.43224125,92.26409496
2429,,92.45830312,90.40785908,90.38628291,93.8849642,90.96130841
2430,,80.8136847,81.93450413,80.41339286,81.84857294,80.51765333
2431,,78.61297539,80.63250833,76.63459302,81.61181026,81.07272727
2432,,84.24472117,84.25085212,80.68092105,81.47732794,78.99102871
2433,,90.34676664,90.02366157,90.13188202,89.11924051,90.75863192
2434,,87.23978412,86.1707381,87.04646925,82.23228155,82.63612975
