tract,percent_bachelors_2016,percent_bachelors_2015,percent_bachelors_2014,percent_bachelors_2013,percent_bachelors_2012,percent_bachelors_2011
1303,,38.14289039,38.57277323,39.24662651,38.13691345,34.56076216
1401,,18.19852941,18.49809028,17.41028037,16.22451093,17.84581091
1402,,22.52593775,19.98575386,23.2145606,19.96608552,20.2305638
1403.01,,25.52083333,23.71050088,20.78303487,18.91998106,14.7032108
1403.02,,27.69135034,23.75774516,23.26814882,25.82248612,22.07678781
1404,,31.54267538,33.0193692,27.23247089,27.19607462,25.77006279
1405,,20.94811019,20.72381271,18.85844278,17.56581972,16.37272727
1406.01,,15.75866727,13.56768044,13.81816586,16.85806163,18.01277139
1406.02,,21.15875447,17.09475637,15.18347869,12.32091334,14.81815688
1407.01,,35.60340511,38.85446009,40.02737905,34.40370195,29.01018182
1407.02,,23.6043956,23.3035854,21.19682959,18.04000451,18.34171339
1408,,47.83084214,47.2618494,44.3215349,41.90357616,41.68611111
1502,,28.9897511,30.81362776,32.76307849,31.97276382,31.89671692
1503,,29.10747375,26.39552415,25.65953105,23.88467167,22.65579122
1504.01,,30.11889036,26.19632,28.05467302,26.90634029,24.59764355
1504.02,,23.23803191,18.24054326,19.55363357,16.59256966,20.17420784
1505.01,,25.22786458,31.54074201,29.03819578,26.90674699,24.75251847
1505.02,,18.25125099,17.6443539,12.07809392,11.44759132,8.3844281
1506,,20,18.90930788,24.34555237,23.47526959,21.398204
1507,,22.16708023,16.53768997,17.33456716,17.02509135,21.04825291
1508,,19.58787305,19.75099954,18.87823096,17.01388889,17.61135559
1510.01,,19.71830986,14.86668427,11.76260388,12.291899,13.20440457
1510.02,,16.67190941,15.5230179,13.11940615,14.8991623,12.35220933
1511,,15.02782931,16.42739099,19.07310557,20.74128537,21.64825328
1512,,17.30044536,13.74416529,14.85200803,19.41832139,20.29606299
1601,,28.95699909,26.32261353,22.57826896,22.76782155,21.05327605
1602,,49.68992248,39.09249147,38.24598798,29.40566038,26.53137325
1603,,39.10216718,35.66745959,33.89055752,33.54150357,31.29024607
1604,,26.80978532,28.04109589,30.65137838,29.59549309,28.00191761
1605.01,,26.21933195,23.78776797,23.86329114,20.68937583,24.37442032
1605.02,,22.47607286,25.06726773,26.11823221,22.80237822,23.99554825
1606.01,,31.09393579,35.83427152,35.53646409,36.7,38.0462775
1606.02,,30.08905852,28.51003215,28.42208754,30.94785992,36.65900295
1607,,37.64274062,36.3673927,34.5741752,35.9848948,38.14427374
1608,,32.18142549,28.63508647,28.41993628,27.26566876,23.95599228
1609,,42.5499232,45.64825027,41.86649077,40.67628083,38.86120163
1610,,42.13606437,41.64647482,41.52017738,42.62288197,39.05346756
1611,,58.09390329,61.77377049,58.80458015,58.03846154,55.58940317
1612,,25.91732466,23.52917903,21.01411879,21.44053775,18.44181818
1613,,18.48184818,16.03932441,16.26229784,16.36661034,14.83223491
1701,,29.30232558,31.54314904,28.01526718,29.16941432,25.81578054
