tract,percent_poverty_2016,percent_poverty_2015,percent_poverty_2014,percent_poverty_2013,percent_poverty_2012
2308,,0.172,0.150,0.086,0.074
2309,,0.347,0.395,0.385,0.378
2311,,0.304,0.265,0.321,0.261
2312,,0.390,0.468,0.452,0.441
2315,,0.377,0.438,0.338,0.438
2402,,0.107,0.101,0.073,0.077
2403,,0.037,0.041,0.044,0.056
2405,,0.045,0.060,0.056,0.079
2406,,0.185,0.217,0.388,0.257
2407,,0.287,0.355,0.357,0.243
2408,,0.274,0.231,0.283,0.296
2409,,0.239,0.172,0.196,0.288
2410,,0.294,0.297,0.299,0.297
2411,,0.232,0.219,0.188,0.277
2412,,0.188,0.173,0.158,0.127
2413,,0.162,0.210,0.195,0.153
2414,,0.178,0.157,0.182,0.221
2415,,0.155,0.132,0.105,0.116
2416,,0.139,0.156,0.167,0.160
2420,,0.166,0.188,0.168,0.187
2421,,0.065,0.084,0.091,0.097
2422,,0.161,0.138,0.129,0.144
2423,,0.063,0.060,0.082,0.069
2424,,0.072,0.078,0.085,0.084
2425,,0.162,0.137,0.140,0.156
2426,,0.248,0.198,0.204,0.295
2427,,0.314,0.330,0.405,0.395
2428,,0.137,0.127,0.125,0.111
2429,,0.095,0.184,0.180,0.154
2430,,0.093,0.169,0.149,0.160
2431,,0.107,0.146,0.138,0.130
2432,,0.127,0.136,0.095,0.090
2433,,0.125,0.125,0.126,0.110
2434,,0.127,0.127,0.098,0.093
2435,,0.102,0.133,0.134,0.177
2502,,0.278,0.287,0.250,0.261
2503,,0.352,0.364,0.309,0.301
2504,,0.309,0.296,0.270,0.208
2505,,0.151,0.150,0.103,0.107
2506,,0.165,0.163,0.171,0.254
2507,,0.359,0.373,0.377,0.296
2508,,0.300,0.274,0.279,0.247
2510,,0.246,0.314,0.265,0.414
2511,,0.369,0.335,0.352,0.352
2512,,0.262,0.231,0.212,0.273
2513,,0.287,0.317,0.336,0.307
2514,,0.295,0.307,0.357,0.359
2515,,0.351,0.322,0.341,0.295
2516,,0.324,0.364,0.326,0.351
2517,,0.468,0.552,0.597,0.523
2518,,0.358,0.396,0.428,0.421
2519,,0.467,0.495,0.423,0.419
2520,,0.339,0.311,0.337,0.393
2521.01,,0.214,0.250,0.236,0.242
2521.02,,0.279,0.375,0.348,0.298
2522.01,,0.397,0.431,0.360,0.393
2522.02,,0.323,0.347,0.313,0.285
2601,,0.549,0.541,0.484,0.562
2602,,0.462,0.512,0.509,0.336
2603,,0.327,0.415,0.488,0.441
2604,,0.620,0.682,0.537,0.563
2605,,0.389,0.439,0.344,0.419
2606,,0.515,0.482,0.481,0.452
2607,,0.554,0.482,0.486,0.463
2608,,0.486,0.520,0.515,0.380
2609,,0.403,0.397,0.558,0.475
2610,,0.436,0.415,0.387,0.343
2705,,0.586,0.516,0.564,0.607
2712,,0.479,0.466,0.338,0.340
2713,,0.484,0.526,0.476,0.470
2714,,0.475,0.369,0.331,0.311
2715,,0.481,0.548,0.497,0.449
2718,,0.631,0.423,0.432,0.358
2801,,0.054,0.078,0.059,0.070
2804,,0.523,0.499,0.536,0.465
2808,,0.377,0.375,0.383,0.382
2809,,0.467,0.576,0.572,0.740
2819,,0.208,0.219,0.198,0.171
2827,,0.306,0.374,0.343,0.257
2828,,0.138,0.076,0.073,0.075
2831,,0.315,0.375,0.316,0.347
2832,,0.326,0.312,0.293,0.243
2838,,0.216,0.235,0.216,0.239
2909,,0.488,0.493,0.526,0.507
2912,,0.431,0.408,0.508,0.601
2916,,0.225,0.255,0.252,0.341
2922,,0.454,0.446,0.486,0.432
2924,,0.490,0.499,0.510,0.432
2925,,0.369,0.387,0.397,0.422
3005,,0.273,0.239,0.198,0.217
3006,,0.274,0.266,0.203,0.271
3007,,0.483,0.444,0.418,0.318
3008,,0.377,0.399,0.374,0.399
3009,,0.488,0.491,0.440,0.480
3011,,0.430,0.405,0.462,0.385
3012,,0.347,0.383,0.349,0.367
3016,,0.389,0.380,0.408,0.378
3017.01,,0.395,0.297,0.281,0.217
3017.02,,0.340,0.428,0.460,0.347
3018.01,,0.292,0.390,0.358,0.265
3018.02,,0.304,0.267,0.273,0.204
3018.03,,0.332,0.385,0.377,0.360
3102,,0.168,0.192,0.172,0.198
3103,,0.227,0.226,0.206,0.153
3104,,0.198,0.135,0.096,0.091
3105,,0.231,0.398,0.406,0.467
3106,,0.369,0.363,0.293,0.269
3107,,0.281,0.324,0.310,0.356
3108,,0.171,0.187,0.217,0.195
3109,,0.311,0.292,0.295,0.273
3201,,0.098,0.093,0.100,0.118
3204,,0.093,0.081,0.064,0.074
3206,,0.152,0.164,0.135,0.171
3301,,0.096,0.089,0.096,0.127
3302,,0.127,0.125,0.109,0.096
3403,,0.279,0.238,0.209,0.261
3404,,0.356,0.429,0.356,0.260
3405,,0.330,0.316,0.303,0.384
3406,,0.628,0.688,0.759,0.715
3501,,0.303,0.251,0.207,0.167
3504,,0.697,0.711,0.721,0.648
3510,,0.275,0.261,0.282,0.285
3511,,0.742,0.736,0.686,0.592
3514,,0.609,0.640,0.553,0.591
3515,,0.311,0.313,0.260,0.239
3602,,0.469,0.530,0.549,0.573
3801,,0.420,0.349,0.353,0.324
3802,,0.386,0.291,0.293,0.269
3805,,0.490,0.335,0.313,0.499
3807,,0.257,0.318,0.242,0.355
3812,,0.179,0.177,0.175,0.194
3814,,0.348,0.352,0.302,0.333
3815,,0.381,0.324,0.303,0.469
3817,,0.000,0.000,0.000,0.000
3818,,0.325,0.316,0.257,0.292
3819,,0.253,0.285,0.247,0.305
3901,,0.082,0.094,0.074,0.099
3902,,0.217,0.228,0.306,0.212
3903,,0.396,0.450,0.458,0.405
3904,,0.315,0.364,0.395,0.345
3905,,0.135,0.170,0.178,0.180
3906,,0.110,0.102,0.135,0.117
3907,,0.201,0.182,0.197,0.210
4003,,0.399,0.332,0.302,0.315
4004,,0.397,0.481,0.460,0.353
4005,,0.552,0.520,0.593,0.471
4008,,0.563,0.614,0.590,0.616
4101,,0.212,0.282,0.277,0.214
4102,,0.336,0.352,0.369,0.323
4105,,0.280,0.284,0.281,0.278
4106,,0.288,0.314,0.237,0.210
4107,,0.234,0.234,0.185,0.247
4108,,0.217,0.231,0.232,0.195
4109,,0.268,0.215,0.182,0.183
4110,,0.129,0.157,0.198,0.184
4111,,0.102,0.081,0.140,0.168
4112,,0.193,0.174,0.199,0.176
4201,,0.403,0.404,0.428,0.477
4202,,0.268,0.254,0.248,0.254
4203,,0.372,0.354,0.309,0.236
4204,,0.517,0.467,0.387,0.391
4205,,0.459,0.454,0.475,0.458
4206,,0.664,0.642,0.615,0.589
4207,,0.509,0.448,0.406,0.389
4208,,0.407,0.421,0.366,0.323
4212,,0.348,0.385,0.318,0.336
4301.01,,0.307,0.266,0.176,0.209
4301.02,,0.336,0.249,0.246,0.255
4302,,0.368,0.461,0.493,0.430
4303,,0.459,0.411,0.386,0.272
4304,,0.516,0.486,0.411,0.345
4305,,0.457,0.408,0.415,0.375
4306,,0.283,0.244,0.267,0.240
4307,,0.420,0.381,0.346,0.436
4308,,0.272,0.258,0.249,0.214
4309,,0.385,0.356,0.272,0.280
4312,,0.178,0.136,0.090,0.111
4313.01,,0.355,0.450,0.472,0.441
4313.02,,0.354,0.373,0.350,0.327
4314,,0.390,0.350,0.301,0.296
4401.01,,0.384,0.343,0.417,0.404
4401.02,,0.403,0.375,0.346,0.360
4402.01,,0.315,0.305,0.289,0.342
4402.02,,0.273,0.294,0.270,0.262
4403,,0.133,0.116,0.118,0.133
4406,,0.221,0.204,0.228,0.179
4407,,0.250,0.211,0.271,0.253
4408,,0.416,0.460,0.409,0.404
4409,,0.209,0.138,0.133,0.114
4503,,0.193,0.181,0.194,0.203
4601,,0.281,0.278,0.320,0.282
4602,,0.424,0.361,0.412,0.475
4603.01,,0.283,0.335,0.335,0.298
4603.02,,0.416,0.455,0.440,0.422
4604,,0.192,0.192,0.178,0.157
4605,,0.163,0.131,0.110,0.143
4606,,0.241,0.348,0.432,0.366
4607,,0.538,0.584,0.595,0.634
4610,,0.478,0.418,0.445,0.376
4701,,0.357,0.319,0.439,0.475
4801,,0.040,0.136,0.116,0.124
4802,,0.236,0.219,0.177,0.180
4803,,0.234,0.244,0.195,0.125
4804,,0.098,0.117,0.097,0.109
4805,,0.147,0.172,0.213,0.205
4903,,0.179,0.202,0.196,0.208
4904,,0.037,0.120,0.074,0.144
4905,,0.101,0.076,0.071,0.076
4906,,0.116,0.178,0.132,0.160
4907,,0.284,0.311,0.270,0.191
4908,,0.246,0.235,0.208,0.155
4909.01,,0.258,0.300,0.310,0.356
4909.02,,0.180,0.153,0.141,0.132
4910,,0.453,0.502,0.451,0.383
4911,,0.197,0.182,0.188,0.229
4912,,0.283,0.219,0.225,0.221
4913,,0.557,0.439,0.319,0.296
4914,,0.415,0.363,0.399,0.333
5001,,0.230,0.216,0.197,0.146
5002,,0.309,0.395,0.427,0.473
5003,,0.165,0.188,0.136,0.211
5101,,0.188,0.187,0.248,0.244
5102,,0.207,0.225,0.261,0.291
5103,,0.228,0.258,0.316,0.325
5201,,0.313,0.385,0.401,0.527
5202,,0.392,0.385,0.403,0.425
5203,,0.277,0.247,0.285,0.237
5204,,0.066,0.120,0.164,0.200
5205,,0.129,0.126,0.114,0.100
5206,,0.136,0.131,0.077,0.065
5301,,0.382,0.411,0.370,0.295
5302,,0.459,0.536,0.486,0.420
5303,,0.242,0.249,0.201,0.178
5304,,0.185,0.205,0.241,0.198
5305.01,,0.352,0.387,0.442,0.459
5305.02,,0.314,0.202,0.167,0.211
5305.03,,0.319,0.324,0.284,0.172
5306,,0.443,0.386,0.420,0.305
5401.01,,0.692,0.696,0.670,0.608
5401.02,,0.590,0.563,0.576,0.557
5501,,0.238,0.206,0.179,0.216
5502,,0.041,0.078,0.131,0.103
5601,,0.153,0.279,0.194,0.196
5602,,0.183,0.170,0.127,0.172
5603,,0.093,0.075,0.070,0.091
5604,,0.132,0.125,0.171,0.011
5607,,0.084,0.086,0.131,0.184
5608,,0.034,0.051,0.038,0.054
5609,,0.061,0.059,0.053,0.039
5610,,0.066,0.080,0.097,0.097
5611,,0.034,0.033,0.029,0.048
5701,,0.163,0.138,0.124,0.086
5702,,0.114,0.095,0.056,0.040
5703,,0.200,0.177,0.180,0.177
5704,,0.155,0.142,0.151,0.133
5705,,0.115,0.147,0.176,0.139
5801,,0.268,0.330,0.316,0.313
5802,,0.280,0.231,0.320,0.344
5803,,0.178,0.213,0.158,0.167
5804,,0.214,0.260,0.249,0.225
5805.01,,0.295,0.281,0.227,0.185
5805.02,,0.278,0.258,0.237,0.198
5806,,0.169,0.230,0.249,0.252
5807,,0.288,0.256,0.291,0.275
5808,,0.361,0.356,0.304,0.229
5905,,0.296,0.251,0.219,0.176
5906,,0.172,0.157,0.117,0.075
5907,,0.288,0.263,0.198,0.147
6004,,0.221,0.210,0.188,0.162
6006,,0.299,0.255,0.323,0.206
6007,,0.205,0.210,0.123,0.143
6009,,0.156,0.176,0.208,0.234
6103,,0.301,0.307,0.351,0.371
6104,,0.451,0.414,0.319,0.213
6108,,0.157,0.158,0.170,0.071
6110,,0.459,0.564,0.660,0.642
6111,,0.456,0.467,0.483,0.414
6112,,0.353,0.419,0.435,0.357
6113,,0.335,0.382,0.370,0.306
6114,,0.400,0.375,0.290,0.324
6115,,0.293,0.217,0.209,0.252
6116,,0.370,0.357,0.432,0.343
6117,,0.339,0.430,0.379,0.440
6118,,0.520,0.536,0.441,0.363
6119,,0.417,0.435,0.444,0.433
6120,,0.381,0.399,0.399,0.340
6121,,0.318,0.332,0.351,0.330
6201,,0.272,0.195,0.183,0.166
6202,,0.148,0.158,0.129,0.139
6203,,0.174,0.134,0.183,0.219
6204,,0.152,0.169,0.202,0.161
6301,,0.234,0.283,0.314,0.272
6302,,0.322,0.259,0.306,0.321
6303,,0.183,0.207,0.199,0.221
6304,,0.292,0.290,0.322,0.337
6305,,0.180,0.175,0.195,0.181
6308,,0.229,0.298,0.320,0.250
6309,,0.185,0.265,0.248,0.235
6401,,0.091,0.080,0.044,0.091
6403,,0.045,0.039,0.062,0.078
6404,,0.071,0.083,0.072,0.029
6405,,0.064,0.070,0.064,0.071
6406,,0.240,0.204,0.172,0.155
6407,,0.132,0.124,0.083,0.059
6408,,0.162,0.142,0.187,0.199
6501,,0.212,0.200,0.259,0.188
6502,,0.181,0.199,0.197,0.123
6503.01,,0.100,0.132,0.140,0.126
6503.02,,0.130,0.148,0.146,0.211
6504,,0.131,0.233,0.212,0.226
6505,,0.132,0.191,0.171,0.184
6603.01,,0.480,0.412,0.434,0.399
6603.02,,0.277,0.224,0.201,0.205
6604,,0.206,0.287,0.307,0.311
6605,,0.294,0.316,0.293,0.284
6606,,0.355,0.407,0.415,0.366
6607,,0.421,0.438,0.462,0.474
6608,,0.319,0.353,0.325,0.392
6609,,0.430,0.461,0.423,0.372
6610,,0.254,0.268,0.211,0.206
6611,,0.227,0.217,0.224,0.187
6701,,0.406,0.386,0.456,0.397
6702,,0.492,0.367,0.382,0.369
6703,,0.465,0.521,0.522,0.669
6704,,0.481,0.489,0.535,0.486
6705,,0.403,0.366,0.451,0.342
6706,,0.401,0.446,0.418,0.384
6707,,0.306,0.399,0.328,0.368
6708,,0.528,0.463,0.493,0.384
6709,,0.317,0.289,0.256,0.234
6711,,0.592,0.614,0.694,0.626
6712,,0.546,0.525,0.431,0.336
6713,,0.322,0.430,0.492,0.560
6714,,0.387,0.354,0.245,0.206
6715,,0.444,0.421,0.357,0.338
6716,,0.323,0.414,0.446,0.428
6718,,0.374,0.373,0.378,0.377
6719,,0.213,0.203,0.214,0.262
6720,,0.167,0.129,0.218,0.276
6805,,0.658,0.633,0.452,0.455
6806,,0.559,0.567,0.526,0.551
6809,,0.501,0.502,0.512,0.475
6810,,0.512,0.567,0.573,0.508
6811,,0.500,0.490,0.495,0.416
6812,,0.430,0.466,0.513,0.620
6813,,0.353,0.488,0.437,0.393
6814,,0.269,0.401,0.473,0.420
6903,,0.541,0.378,0.421,0.462
6904,,0.360,0.373,0.408,0.337
6905,,0.415,0.337,0.389,0.380
6909,,0.427,0.434,0.339,0.322
6910,,0.222,0.263,0.259,0.221
6911,,0.450,0.522,0.513,0.478
6912,,0.450,0.429,0.475,0.364
6913,,0.225,0.119,0.090,0.048
6914,,0.234,0.220,0.231,0.207
6915,,0.389,0.491,0.436,0.423
7001,,0.203,0.231,0.129,0.169
7002,,0.118,0.149,0.183,0.194
7003.01,,0.192,0.208,0.195,0.148
7003.02,,0.142,0.139,0.137,0.150
7004.01,,0.091,0.095,0.072,0.057
7004.02,,0.155,0.117,0.160,0.136
7005.01,,0.048,0.046,0.059,0.074
7005.02,,0.093,0.072,0.076,0.082
7101,,0.590,0.620,0.642,0.560
7102,,0.412,0.443,0.490,0.488
7103,,0.303,0.308,0.334,0.318
7104,,0.311,0.249,0.252,0.286
7105,,0.341,0.282,0.309,0.295
7106,,0.320,0.334,0.485,0.504
7107,,0.239,0.281,0.320,0.243
7108,,0.095,0.078,0.092,0.118
7109,,0.495,0.529,0.484,0.439
7110,,0.284,0.319,0.286,0.234
7111,,0.147,0.309,0.352,0.387
7112,,0.217,0.232,0.222,0.154
7113,,0.252,0.280,0.245,0.326
7114,,0.368,0.437,0.301,0.292
7115,,0.305,0.232,0.143,0.109
7201,,0.012,0.011,0.006,0.004
7202,,0.105,0.086,0.091,0.132
7203,,0.010,0.002,0.006,0.012
7204,,0.024,0.018,0.009,0.005
7205,,0.019,0.023,0.024,0.022
7206,,0.047,0.040,0.035,0.025
