tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
1404,,0.4145375051,0.4258279989,0.4041105213,0.4525164114,0.4407440744
1405,,0.3035386029,0.3329289008,0.3552724699,0.3708698584,0.3891380169
1406.01,,0.1406302948,0.1401145167,0.1527228476,0.1759697256,0.2206416465
1406.02,,0.2070575056,0.1829355183,0.1841092055,0.1550051957,0.1799425906
1407.01,,0.2823618471,0.3484276730,0.3915505226,0.4007936508,0.4243061396
1407.02,,0.1890645586,0.2100127959,0.2091513873,0.1933649289,0.2352753392
1408,,0.5049579327,0.4638646137,0.4485796949,0.4357216762,0.4189206512
1502,,0.6441816716,0.6173123641,0.5884752006,0.5784074881,0.5686398783
1503,,0.5290431429,0.6064310391,0.6447199658,0.6510126211,0.6961538462
1504.01,,0.7003021148,0.6797086368,0.7083690987,0.7472674548,0.7454342984
1504.02,,0.5346153846,0.5033829499,0.4601867106,0.5097359296,0.6091205212
1505.01,,0.6196570259,0.6593641464,0.5699389624,0.6475953566,0.7261465472
1505.02,,0.4955508475,0.5107226107,0.4887796538,0.4661965989,0.4413018210
1506,,0.5338035019,0.5377456050,0.5880041907,0.5701369863,0.5329060882
1507,,0.4841599301,0.5226141528,0.5104025328,0.5176364862,0.5416258570
1508,,0.3298226164,0.3610346725,0.3884250474,0.3889407809,0.3863295880
1510.01,,0.3627161535,0.2797478329,0.2610491532,0.2929984779,0.2545968883
1510.02,,0.3268398268,0.2655282818,0.2379817243,0.2496559858,0.2734827986
1511,,0.4067171065,0.4271934706,0.4150687585,0.4883579672,0.4662726717
1512,,0.5794973171,0.5804347826,0.5766953714,0.5198575733,0.6001092598
1601,,0.4509293680,0.5144706778,0.6409348442,0.6745762712,0.6893123447
1602,,0.6373292868,0.5347985348,0.5684658336,0.6197650664,0.6293818571
1603,,0.5575360419,0.4851689451,0.4873569337,0.4915650143,0.4718026183
1604,,0.4398356486,0.4656188605,0.4298900236,0.4259509558,0.4003047039
1605.01,,0.1731795857,0.1694086261,0.2179159898,0.2204509223,0.2149011657
1605.02,,0.2248171739,0.2491243433,0.2744074799,0.2692228407,0.2651969178
1606.01,,0.3052703628,0.3610902726,0.3956456456,0.4459388186,0.4968213605
1606.02,,0.3969773300,0.3851368315,0.3817627635,0.3615745568,0.3676778243
1607,,0.4778388871,0.4054593875,0.3664030261,0.3992175540,0.3872017354
1608,,0.3155268022,0.3053080921,0.3139698140,0.2796657382,0.2962049336
1609,,0.5960570470,0.6078345070,0.6865127582,0.6799387443,0.6812191104
1610,,0.6022067364,0.6320973349,0.6946651532,0.7163323782,0.7378984652
1611,,0.6414799375,0.6776900296,0.6406320542,0.6616407982,0.7024128686
1612,,0.2599573257,0.3055555556,0.3202267092,0.3132961783,0.2585347142
1613,,0.3080665813,0.3114379914,0.3523658472,0.3836254107,0.4389916868
1701,,0.8037533512,0.7910208445,0.8016789087,0.8037296037,0.7610402355
1702,,0.5465674508,0.5707741640,0.6287841191,0.6778645833,0.6443217666
1703,,0.6321233016,0.6693777959,0.7251727542,0.7664564446,0.7878326996
