tract,percent_black_2016,percent_black_2015,percent_black_2014,percent_black_2013,percent_black_2012,percent_black_2011
3017.02,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3018.01,,0.020098039,0.066179934,0.045917101,0.016685979,0.038042161
3018.02,,0.006323111,0.004487401,0.004971319,0.000398565,0.000780336
3018.03,,0.021046644,0.022754254,0.000000000,0.000000000,0.000000000
3102,,0.059171598,0.030144168,0.022158685,0.000000000,0.000000000
3103,,0.010161387,0.048225050,0.051120448,0.052359405,0.042660882
3104,,0.057807808,0.061009818,0.052509653,0.097578870,0.102714600
3105,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3106,,0.078091529,0.085975491,0.103497758,0.079730687,0.087163233
3107,,0.038194444,0.046736503,0.067839196,0.038361508,0.042222222
3108,,0.002439565,0.010561893,0.007330746,0.006974359,0.006302935
3109,,0.018673023,0.017176703,0.021922767,0.015191298,0.014941302
3201,,0.048721182,0.077083729,0.079778913,0.062584609,0.063123328
3204,,0.122537563,0.150614348,0.170608958,0.199870634,0.124234471
3206,,0.193696514,0.177263536,0.145205479,0.163760218,0.193083573
3301,,0.219347644,0.233079286,0.211053435,0.244599746,0.274980797
3302,,0.298927614,0.295793397,0.311463047,0.342975207,0.285788382
3403,,0.014582165,0.011534025,0.004689943,0.004598876,0.000000000
3404,,0.000997506,0.001149425,0.001059322,0.000511771,0.000478698
3405,,0.052179251,0.066350711,0.109199206,0.116133082,0.090598291
3406,,0.970556161,0.978424015,0.996050553,0.995815900,0.996494303
3501,,0.511076765,0.561588738,0.566494845,0.532323232,0.572352064
3504,,0.933819065,0.916606236,0.921348315,0.914819137,0.936022253
3510,,0.705767827,0.736449528,0.700159490,0.711398545,0.750542299
3511,,0.964322120,0.980072464,0.989361702,0.983324648,1.000000000
3514,,0.903089037,0.943907157,0.843423800,0.887262079,0.873630387
3515,,0.478747204,0.489156627,0.575562701,0.670454545,0.644444444
3602,,0.975388601,0.977103960,0.919973100,0.966165414,0.958456973
3801,,0.944473275,0.908891328,0.890200103,0.907663018,0.941512753
3802,,0.890257559,0.883561644,0.892899408,0.948453608,0.939299124
